x1km_square,country,longitude,latitude,habitat,land_cover,dominant_species,dominant_family,annual_mean_temp,max_temp_warmest_month,min_temp_coldest_month,temp_annual_range,annual_total_prec,total_prec_wettest_month,total_prec_driest_month,n_months_at_least_15C,elevation
SH4866,Wales,-4.26815900719273,53.17399990320367,H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland,agricultural,Helophilus pendulus,Syrphidae,10.037090301513672,19.34644889831543,2.467759609222412,16.87868881225586,994,120,54,3,54
SH5924,Wales,-4.0854451862328744,52.79972457489794,H17 - Dry semi/unimproved (flower-rich) neutral grassland,semi-natural,Lasioglossum calceatum,Apidae,9.131549835205078,18.4229736328125,1.613513469696045,16.809459686279297,1293,149,71,1,194
SH7038,Wales,-3.9279603091585673,52.92825899166037,H16 - Dry semi/unimproved acid grassland,semi-natural,Apis mellifera,Apidae,8.274531364440918,17.96324920654297,0.6800000071525574,17.283248901367188,1452,166,82,1,314
SH7148,Wales,-3.9170649871690744,53.018341199833216,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Bombus monticola,Apidae,7.848458290100098,17.57200050354004,0.33149999380111694,17.240501403808594,1532,175,87,1,393
SH8170,Wales,-3.776202173506538,53.21831400498027,H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland,agricultural,Neoascia podagrica,Syrphidae,9.165019035339355,19.042150497436523,1.3226743936538696,17.7194766998291,1054,123,59,2,151
SH8207,Wales,-3.738394194775697,52.65247537208114,H16 - Dry semi/unimproved acid grassland,semi-natural,Eristalis tenax,Apidae,8.37011432647705,18.23324966430664,0.5440000295639038,17.68924903869629,1470,168,79,1,256
SK0484,England,-1.9338506496735726,53.357377560470674,H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland,agricultural,Neoascia podagrica,Syrphidae,7.883072853088379,18.392250061035156,-0.06650000065565109,18.458749771118164,1233,132,78,1,355
SK1590,England,-1.768287777884868,53.41110330892607,H23 - Wet and dry heathland/ dry heather moorland,semi-natural,Eristalis tenax,Apidae,7.793468952178955,18.342500686645508,-0.09350000321865082,18.43600082397461,1237,135,78,1,378
SK2557,England,-1.6204854338717607,53.114096058228114,H21 - Stands of tall herbs (e.g. nettle and willow-herb beds),agricultural,Andrena haemorrhoa,Apidae,8.4500732421875,19.420249938964844,0.2800000011920929,19.140249252319336,878,89,61,2,208
SK4706,England,-1.2992507936647826,52.65417381259754,H21 - Stands of tall herbs (e.g. nettle and willow-herb beds),agricultural,Syrphus ribesii,Syrphidae,9.33105182647705,21.22800064086914,0.5385000109672546,20.68950080871582,645,62,44,3,97
SK5480,England,-1.1833464601426131,53.31865285511778,H38 - Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops (e.g. set-aside),agricultural,Apis mellifera,Apidae,9.009448051452637,20.90850067138672,0.4882500171661377,20.420249938964844,736,77,50,3,109
SK9826,England,-0.5395376701615852,52.827056138767475,H35 - Intensive arable crops,agricultural,Episyrphus balteatus,Syrphidae,9.242676734924316,20.829999923706055,0.7505000233650208,20.079500198364258,650,62,45,3,99
SN0732,Wales,-4.803030863076706,51.957588820330244,H16 - Dry semi/unimproved acid grassland,semi-natural,Bombus lucorum,Apidae,9.696864128112793,18.352249145507812,2.663749933242798,15.688499450683594,1175,132,70,3,175
SN6098,Wales,-4.059601652517902,52.56640538160418,H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland,agricultural,Andrena angustior,Syrphidae,9.5470123291015625,18.787734985351562,2.020754814147949,16.766979217529297,1158,133,63,3,104
SN6185,Wales,-4.039443686800528,52.4498661043755,H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland,agricultural,Lasioglossum punctatissimum,Syrphidae,9.524127960205078,18.8162784576416,1.9600000381469727,16.856277465820312,1160,134,61,3,87
SN6634,Wales,-3.945781255606725,51.992864605821424,H16 - Dry semi/unimproved acid grassland,agricultural,Xylota segnis,Syrphidae,9.479708671569824,19.1560001373291,1.71875,17.4372501373291,1346,154,75,3,165
SN6777,Wales,-3.9480403331700695,52.379475219360856,H19 - Seasonally wet and wet marshy grasslands,agricultural,Episyrphus balteatus,Apidae,8.646374702453613,18.287750244140625,0.9612500071525574,17.326499938964844,1523,174,81,1,229
SN7659,Wales,-3.8092858454898786,52.2198349450136,H13 - Flushes,semi-natural,Xylota segnis,Syrphidae,7.379020690917969,17.1875,-0.20374999940395355,17.391250610351562,1925,226,102,1,452
SO1474,Wales,-3.2570029600389834,52.36187393069531,H19 - Seasonally wet and wet marshy grasslands,semi-natural,Andrena haemorrhoa,Syrphidae,7.9031877517700195,18.706750869750977,-0.17550000548362732,18.882251739501953,1377,163,75,1,370
SO2568,Wales,-3.0941652530811097,52.30954941965701,H20 - Bracken dominated glades or hillsides,agricultural,Lasioglossum laevigatum,Syrphidae,8.595656394958496,19.79050064086914,0.3567500114440918,19.43375015258789,1108,128,60,2,272
SO3129,England,-2.9983110848062533,51.95975169545002,H17 - Dry semi/unimproved (flower-rich) neutral grassland,agricultural,Apis mellifera,Apidae,9.44546890258789,20.23150062561035,1.315250039100647,18.916250228881836,907,102,47,3,159
SO4718,England,-2.7638024580946743,51.86260463828455,H17 - Dry semi/unimproved (flower-rich) neutral grassland,agricultural,Apis mellifera,Apidae,9.614906311035156,20.451749801635742,1.4199999570846558,19.031749725341797,805,88,43,3,124
SO6087,England,-2.5830842282578956,52.48399552084982,H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland,agricultural,Apis mellifera,Apidae,8.547124862670898,19.71649932861328,0.2915000021457672,19.424999237060547,1004,108,64,1,220
SO8911,England,-2.1536714579787133,51.80204846121702,H25 - Hedgerows,semi-natural,Lasioglossum calceatum,Apidae,9.25447940826416,20.562000274658203,0.8922500014305115,19.669750213623047,883,96,56,3,191
SP1430,England,-1.790319158476468,51.97279342031973,"H32 - Bare ground/herb/grass mosaics of wood rides, hedgebanks and green lanes",semi-natural,Ferdinandea cuprea,Syrphidae,9.264073371887207,20.924999237060547,0.8349999785423279,20.09000015258789,791,82,53,3,178
SP4951,England,-1.2777995669096434,52.159575849968675,"H32 - Bare ground/herb/grass mosaics of wood rides, hedgebanks and green lanes",agricultural,Halictus tumulorum,Apidae,9.449051856994629,21.49625015258789,0.7444999814033508,20.751750946044922,665,64,44,3,130
SP6302,England,-1.082195349435951,51.71764630411891,H35 - Intensive arable crops,agricultural,Melanostoma mellinum,Apidae,9.963885307312012,22.0310001373291,1.2392499446868896,20.791749954223633,651,64,41,3,79
SS8395,Wales,-3.685178186952769,51.64619389989825,H21 - Stands of tall herbs (e.g. nettle and willow-herb beds),semi-natural,Xylota segnis,Apidae,9.87224006652832,19.787500381469727,1.9656250476837158,17.821874618530273,1208,138,70,3,130
ST2636,England,-3.0516110405316343,51.12304435918026,H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland,agricultural,Lasioglossum pauxillum,Halictidae,10.25291633605957,20.925750732421875,2.2320001125335693,18.693750381469727,954,104,56,3,68
ST2983,Wales,-3.018070635169183,51.54597259172293,H10 - Fen/swamp/marsh vegetation of inland freshwater edges,agricultural,Rhingia campestris,Syrphidae,9.885907173156738,20.48874282836914,1.7434555292129517,18.74528694152832,1066,116,59,3,104
ST4543,England,-2.781216188810222,51.18810783169617,H10 - Fen/swamp/marsh vegetation of inland freshwater edges,agricultural,Lasioglossum zonulum,Syrphidae,9.927770614624023,20.68600082397461,1.6862499713897705,18.9997501373291,932,101,56,3,94
ST9351,England,-2.0945344636921095,51.26261576328866,H35 - Intensive arable crops,agricultural,Apis mellifera,Apidae,9.623385429382324,21.024499893188477,1.215000033378601,19.809499740600586,751,83,45,3,121
SU1466,England,-1.7929572360652728,51.39734938891436,H26 - Mature broadleaved woodland,agricultural,Episyrphus balteatus,Syrphidae,9.302103996276855,20.686500549316406,1.0072499513626099,19.679250717163086,743,80,47,3,178
SU3986,England,-1.4313851646795395,51.575988723963455,H35 - Intensive arable crops,agricultural,Lasioglossum malachurum,Halictidae,9.724625587463379,21.124250411987305,1.3339999914169312,19.790250778198242,696,72,44,3,123
SU6679,England,-1.0431318978613005,51.51052590955625,H26 - Mature broadleaved woodland,semi-natural,Apis mellifera,Apidae,9.818770408630371,21.79574966430664,1.1972500085830688,20.598499298095703,700,71,43,3,102
SU7800,England,-0.8874625520418745,50.79874463068526,H21 - Stands of tall herbs (e.g. nettle and willow-herb beds),agricultural,Episyrphus balteatus,Apidae,10.45455551147461,21.08878517150879,2.105607509613037,18.983177185058594,817,93,46,3,3
SX7048,England,-3.820529766513232,50.322151626305484,H17 - Dry semi/unimproved (flower-rich) neutral grassland,agricultural,Lasioglossum leucozonium,Halictidae,10.568735122680664,19.547826766967773,3.4855072498321533,16.062318801879883,983,123,47,3,76
SX8144,England,-3.664819291843249,50.2885088237157,H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland,agricultural,Apis mellifera,Apidae,10.531122207641602,19.389795303344727,3.4755101203918457,15.914285659790039,956,118,47,3,70
SY8586,England,-2.2065781850059207,50.67796622763251,H38 - Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops (e.g. set-aside),agricultural,Apis mellifera,Apidae,10.242395401000977,20.90799903869629,2.0260000228881836,18.881999969482422,811,95,45,3,70
TG4403,England,1.6069742803262308,52.574337134947406,H10 - Fen/swamp/marsh vegetation of inland freshwater edges,agricultural,Eristalinus sepulchralis,Syrphidae,9.739812850952148,20.60325050354004,1.2197500467300415,19.383501052856445,584,63,35,3,7
TL3266,England,-0.059125475471142046,52.28069575688045,H35 - Intensive arable crops,agricultural,Episyrphus balteatus,Apidae,9.774541854858398,21.693750381469727,0.7639999985694885,20.929750442504883,566,53,34,3,39
TM3949,England,1.4948961032162038,52.09199547365045,H17 - Dry semi/unimproved (flower-rich) neutral grassland,agricultural,Hylaeus pectoralis,Halictidae,9.84146499633789,21.29119300842285,1.0559659004211426,20.235227584838867,587,65,37,3,15
TQ1827,England,-0.3113229531579017,51.03464924005703,H17 - Dry semi/unimproved (flower-rich) neutral grassland,agricultural,Apis mellifera,Apidae,9.840052604675293,21.6197509765625,1.0494999885559082,20.57025146484375,755,85,41,3,85
TQ3110,England,-0.13215485329339816,50.87903525121379,H35 - Intensive arable crops,agricultural,Halictus tumulorum,Halictidae,9.84388542175293,21.21125030517578,1.1510000228881836,20.06024932861328,804,95,42,3,72
TQ4450,England,0.06846661593698367,51.23539064230246,H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland,agricultural,Apis mellifera,Apidae,9.619614601135254,21.23150062561035,0.8932499885559082,20.3382511138916,750,82,45,3,119
TQ8038,England,0.5776098185128951,51.11735485471939,H25 - Hedgerows,agricultural,Lasioglossum malachurum,Halictidae,10.030458450317383,21.538249969482422,1.375999927520752,20.162250518798828,732,81,45,3,46
TR0534,England,0.9320644958555655,51.07302286950766,H38 - Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops (e.g. set-aside),agricultural,Lasioglossum malachurum,Halictidae,10.05537223815918,21.718782424926758,1.3939086198806763,20.324872970581055,701,78,42,3,33
TR3149,England,1.3122029336777346,51.19779621680228,H35 - Intensive arable crops,agricultural,Lasioglossum malachurum,Andrenidae,10.134187698364258,21.335248947143555,1.6322499513626099,19.702999114990234,597,67,36,3,42
