x1km_square,species,n_observed
NC0429,Helophilus trivittatus,0
NC0429,Hylaeus brevicornis,0
NC0429,Hylaeus communis,0
NC0429,Hylaeus confusus,0
NC0429,Hylaeus dilatatus,0
NC0429,Hylaeus hyalinatus,0
NC0429,Hylaeus pectoralis,0
NC0429,Lasioglossum albipes,0
NC0429,Lasioglossum calceatum,0
NC0429,Lasioglossum cupromicans,0
NC0429,Lasioglossum fratellum,0
NC0429,Lasioglossum fulvicorne,0
NC0429,Lasioglossum laevigatum,0
NC0429,Lasioglossum lativentre,0
NC0429,Lasioglossum leucopus,0
NC0429,Lasioglossum leucozonium,0
NC0429,Lasioglossum malachurum,0
NC0429,Lasioglossum minutissimum,0
NC0429,Lasioglossum morio,0
NC0429,Lasioglossum parvulum,0
NC0429,Lasioglossum pauperatum,0
NC0429,Lasioglossum pauxillum,0
NC0429,Lasioglossum punctatissimum,0
NC0429,Lasioglossum puncticolle,0
NC0429,Lasioglossum quadrinotatum,0
NC0429,Lasioglossum rufitarse,0
NC0429,Lasioglossum smeathmanellum,0
NC0429,Lasioglossum villosulum,0
NC0429,Lasioglossum xanthopus,0
NC0429,Lasioglossum zonulum,0
NC0429,Lejogaster metallina,0
NC0429,Leucozona glaucia,0
NC0429,Leucozona laternaria,0
NC0429,Macropis europaea,0
NC0429,Megachile centuncularis,0
NC0429,Megachile ligniseca,0
NC0429,Megachile versicolor,0
NC0429,Megachile willughbiella,0
NC0429,Melangyna cincta,0
NC0429,Melangyna labiatarum,0
NC0429,Melangyna lasiophthalma,0
NC0429,Melangyna umbellatarum,0
NC0429,Melanogaster aerosa,0
NC0429,Melanogaster hirtella,2
NC0429,Melanostoma form,0
NC0429,Melanostoma mellinum,0
NC0429,Melanostoma scalare,0
NC0429,Meliscaeva auricollis,0
NC0429,Meliscaeva cinctella,0
NC0429,Melitta leporina,0
NC0429,Merodon equestris,0
NC0429,Myathropa florea,0
NC0429,Neoascia geniculata,0
NC0429,Neoascia meticulosa,0
NC0429,Neoascia podagrica,0
NC0429,Neoascia tenur,0
NC0429,Nomada fabriciana,0
NC0429,Nomada flava,0
NC0429,Nomada flavoguttata,0
NC0429,Nomada flavopicta,0
NC0429,Nomada fucata,0
NC0429,Nomada goodeniana,0
NC0429,Nomada lathburiana,0
NC0429,Nomada marshamella,0
NC0429,Nomada obtusifrons,0
NC0429,Nomada panzeri,0
NC0429,Nomada ruficornis,0
NC0429,Nomada striata,0
NC0429,Orthonevra nobilis,0
NC0429,Osmia bicolor,0
NC0429,Osmia bicornis,0
NC0429,Osmia caerulescens,0
NC0429,Osmia leaiana,0
NC0429,Osmia spinulosa,0
NC0429,Panurgus banksianus,0
NC0429,Panurgus calcaratus,0
NC0429,Parasyrphus punctulatus,0
NC0429,Parhelophilus frutetorum,0
NC0429,Parhelophilus versicolor,0
NC0429,Pipiza bimaculata,0
NC0429,Pipizella viduata,0
NC0429,Platycheirus albimanus,0
NC0429,Platycheirus clypeatus,0
NC0429,Platycheirus granditarsus,0
NC0429,Platycheirus manicatus,0
NC0429,Platycheirus nielseni,0
NC0429,Platycheirus peltatus,0
NC0429,Platycheirus ramsarensis,0
NC0429,Platycheirus rosarum,0
NC0429,Platycheirus scutatus,0
NC0429,Platycheirus tarsalis,0
NC0429,Rhingia campestris,0
NC0429,Rhingia rostrata,0
NC0429,Riponnensia splendens,0
NC0429,Scaeva pyrastri,0
NC0429,Scaeva selenitica,0
NC0429,Sericomyia lappona,0
NC0429,Sericomyia silentis,0
NC0429,Sericomyia superbiens,0
NC0429,Sphaerophoria fatarum,0
NC0429,Sphaerophoria interrupta,0
NC0429,Sphaerophoria philanthus,0
NC0429,Sphaerophoria rueppellii,0
NC0429,Sphaerophoria scripta,0
NC0429,Sphaerophoria taeniata,0
NC0429,Sphecodes crassus,0
NC0429,Sphecodes ephippius,0
NC0429,Sphecodes ferruginatus,0
NC0429,Sphecodes geoffrellus,0
NC0429,Sphecodes monilicornis,0
NC0429,Sphecodes niger,0
NC0429,Sphegina clunipes,0
NC0429,Syritta pipiens,0
NC0429,Syrphus rectus,0
NC0429,Syrphus ribesii,1
NC0429,Syrphus torvus,1
NC0429,Syrphus vitripennis,1
NC0429,Tropidia scita,0
NC0429,Volucella bombylans,0
NC0429,Volucella inanis,0
NC0429,Volucella inflata,0
NC0429,Volucella pellucens,0
NC0429,Xanthogramma pedissequum,0
NC0429,Xanthogramma stackelbergi,0
NC0429,Xylota abiens,0
NC0429,Xylota jakutorum,0
NC0429,Xylota segnis,1
NC0429,Xylota sylvarum,0
NC2313,Anasimyia contracta,0
NC2313,Anasimyia lineata,0
NC2313,Anasimyia transfuga,0
NC2313,Andrena alfkenella,0
NC2313,Andrena angustior,0
NC2313,Andrena bicolor,0
NC2313,Andrena bucephala,0
NC2313,Andrena chrysosceles,0
NC2313,Andrena cineraria,0
NC2313,Andrena coitana,0
NC2313,Andrena denticulata,0
NC2313,Andrena dorsata,0
NC2313,Andrena flavipes,0
NC2313,Andrena fucata,0
NC2313,Andrena fulva,0
NC2313,Andrena haemorrhoa,0
NC2313,Andrena helvola,0
NC2313,Andrena humilis,0
NC2313,Andrena lapponica,0
NC2313,Andrena minutula,0
NC2313,Andrena nigriceps,0
NC2313,Andrena nigroaenea,0
NC2313,Andrena nitida,0
NC2313,Andrena scotica,0
NC2313,Andrena semilaevis,0
NC2313,Andrena subopaca,0
NC2313,Andrena synadelpha,0
NC2313,Andrena tarsata,0
NC2313,Andrena thoracica,0
NC2313,Andrena trimmerana,0
NC2313,Andrena wilkella,0
NC2313,Anthidium manicatum,0
NC2313,Anthophora furcata,0
NC2313,Anthophora plumipes,0
NC2313,Apis mellifera,0
NC2313,Arctophila superbiens,0
NC2313,Bombus barbutellus,0
NC2313,Bombus bohemicus,0
NC2313,Bombus campestris,0
NC2313,Bombus hortorum,0
NC2313,Bombus humilis,0
NC2313,Bombus hypnorum,0
NC2313,Bombus jonellus,0
NC2313,Bombus lapidarius,0
NC2313,Bombus lucorum,0
NC2313,Bombus monticola,0
NC2313,Bombus muscorum,0
NC2313,Bombus pascuorum,0
NC2313,Bombus pratorum,0
NC2313,Bombus ruderarius,0
NC2313,Bombus ruderatus,0
NC2313,Bombus rupestris,0
NC2313,Bombus soroeensis,0
NC2313,Bombus sylvestris,0
NC2313,Bombus terrestris,0
NC2313,Bombus vestalis,0
NC2313,Chalcosyrphus nemorum,0
NC2313,Cheilosia albitarsis,0
NC2313,Cheilosia bergenstammi,0
NC2313,Cheilosia fraterna,0
NC2313,Cheilosia illustrata,0
NC2313,Cheilosia lasiopa,0
NC2313,Cheilosia latifrons,0
NC2313,Cheilosia pagana,0
NC2313,Cheilosia proxima,0
NC2313,Cheilosia soror,0
NC2313,Cheilosia vernalis,0
NC2313,Chelostoma campanularum,0
NC2313,Chrysogaster cemiteriorum,0
NC2313,Chrysogaster virescens,0
NC2313,Chrysotoxum arcuatum,0
NC2313,Chrysotoxum bicinctum,0
NC2313,Chrysotoxum festivum,0
NC2313,Chrysotoxum verralli,0
NC2313,Coelioxys elongata,0
NC2313,Coelioxys inermis,0
NC2313,Colletes similis,0
NC2313,Colletes succinctus,0
NC2313,Dasypoda hirtipes,0
NC2313,Dasysyrphus albostriatus,0
NC2313,Dasysyrphus neovenustus,0
NC2313,Dasysyrphus tricinctus,0
NC2313,Dasysyrphus venustus,0
NC2313,Epistrophe grossulariae,0
NC2313,Episyrphus balteatus,0
NC2313,Eristalinus aeneus,0
NC2313,Eristalinus sepulchralis,0
NC2313,Eristalis abusiva,0
NC2313,Eristalis abusivus,0
NC2313,Eristalis arbustorum,0
NC2313,Eristalis horticola,0
NC2313,Eristalis intricaria,0
NC2313,Eristalis intricarius,0
NC2313,Eristalis nemorum,0
NC2313,Eristalis pertinax,0
NC2313,Eristalis rupium,0
NC2313,Eristalis tenax,0
NC2313,Eucera longicornis,0
NC2313,Eumerus funeralis,0
NC2313,Eumerus ornatus,0
NC2313,Eumerus strigatus,0
NC2313,Eupeodes corollae,0
NC2313,Eupeodes latifasciatus,0
NC2313,Eupeodes luniger,0
NC2313,Ferdinandea cuprea,0
NC2313,Halictus confusus,0
NC2313,Halictus eurygnathus,0
NC2313,Halictus rubicundus,0
NC2313,Halictus tumulorum,0
NC2313,Helophilus hybridus,0
NC2313,Helophilus pendulus,0
NC2313,Helophilus trivittatus,0
NC2313,Hylaeus brevicornis,0
NC2313,Hylaeus communis,0
NC2313,Hylaeus confusus,0
NC2313,Hylaeus dilatatus,0
NC2313,Hylaeus hyalinatus,0
NC2313,Hylaeus pectoralis,0
NC2313,Lasioglossum albipes,0
NC2313,Lasioglossum calceatum,0
NC2313,Lasioglossum cupromicans,0
NC2313,Lasioglossum fratellum,0
NC2313,Lasioglossum fulvicorne,0
NC2313,Lasioglossum laevigatum,0
NC2313,Lasioglossum lativentre,0
NC2313,Lasioglossum leucopus,0
NC2313,Lasioglossum leucozonium,0
NC2313,Lasioglossum malachurum,0
NC2313,Lasioglossum minutissimum,0
NC2313,Lasioglossum morio,0
NC2313,Lasioglossum parvulum,0
NC2313,Lasioglossum pauperatum,0
NC2313,Lasioglossum pauxillum,0
NC2313,Lasioglossum punctatissimum,0
NC2313,Lasioglossum puncticolle,0
NC2313,Lasioglossum quadrinotatum,0
NC2313,Lasioglossum rufitarse,0
NC2313,Lasioglossum smeathmanellum,0
NC2313,Lasioglossum villosulum,0
NC2313,Lasioglossum xanthopus,0
NC2313,Lasioglossum zonulum,0
NC2313,Lejogaster metallina,1
NC2313,Leucozona glaucia,0
NC2313,Leucozona laternaria,0
NC2313,Macropis europaea,0
NC2313,Megachile centuncularis,0
NC2313,Megachile ligniseca,0
NC2313,Megachile versicolor,0
NC2313,Megachile willughbiella,0
NC2313,Melangyna cincta,0
NC2313,Melangyna labiatarum,0
NC2313,Melangyna lasiophthalma,0
NC2313,Melangyna umbellatarum,0
NC2313,Melanogaster aerosa,0
NC2313,Melanogaster hirtella,5
NC2313,Melanostoma form,0
NC2313,Melanostoma mellinum,2
NC2313,Melanostoma scalare,0
NC2313,Meliscaeva auricollis,0
NC2313,Meliscaeva cinctella,0
NC2313,Melitta leporina,0
NC2313,Merodon equestris,0
NC2313,Myathropa florea,0
NC2313,Neoascia geniculata,0
NC2313,Neoascia meticulosa,0
NC2313,Neoascia podagrica,0
NC2313,Neoascia tenur,0
NC2313,Nomada fabriciana,0
NC2313,Nomada flava,0
NC2313,Nomada flavoguttata,0
NC2313,Nomada flavopicta,0
NC2313,Nomada fucata,0
NC2313,Nomada goodeniana,0
NC2313,Nomada lathburiana,0
NC2313,Nomada marshamella,0
NC2313,Nomada obtusifrons,0
NC2313,Nomada panzeri,0
NC2313,Nomada ruficornis,0
NC2313,Nomada striata,0
NC2313,Orthonevra nobilis,0
NC2313,Osmia bicolor,0
NC2313,Osmia bicornis,0
NC2313,Osmia caerulescens,0
NC2313,Osmia leaiana,0
NC2313,Osmia spinulosa,0
NC2313,Panurgus banksianus,0
NC2313,Panurgus calcaratus,0
NC2313,Parasyrphus punctulatus,0
NC2313,Parhelophilus frutetorum,0
NC2313,Parhelophilus versicolor,0
NC2313,Pipiza bimaculata,0
NC2313,Pipizella viduata,0
NC2313,Platycheirus albimanus,1
NC2313,Platycheirus clypeatus,0
NC2313,Platycheirus granditarsus,0
NC2313,Platycheirus manicatus,0
NC2313,Platycheirus nielseni,0
NC2313,Platycheirus peltatus,0
NC2313,Platycheirus ramsarensis,0
NC2313,Platycheirus rosarum,0
NC2313,Platycheirus scutatus,0
NC2313,Platycheirus tarsalis,0
NC2313,Rhingia campestris,0
NC2313,Rhingia rostrata,0
NC2313,Riponnensia splendens,0
NC2313,Scaeva pyrastri,0
NC2313,Scaeva selenitica,0
NC2313,Sericomyia lappona,1
NC2313,Sericomyia silentis,1
NC2313,Sericomyia superbiens,0
NC2313,Sphaerophoria fatarum,0
NC2313,Sphaerophoria interrupta,0
NC2313,Sphaerophoria philanthus,0
NC2313,Sphaerophoria rueppellii,0
NC2313,Sphaerophoria scripta,0
NC2313,Sphaerophoria taeniata,0
NC2313,Sphecodes crassus,0
NC2313,Sphecodes ephippius,0
NC2313,Sphecodes ferruginatus,0
NC2313,Sphecodes geoffrellus,0
NC2313,Sphecodes monilicornis,0
NC2313,Sphecodes niger,0
NC2313,Sphegina clunipes,0
NC2313,Syritta pipiens,0
NC2313,Syrphus rectus,0
NC2313,Syrphus ribesii,0
NC2313,Syrphus torvus,0
NC2313,Syrphus vitripennis,0
NC2313,Tropidia scita,0
NC2313,Volucella bombylans,4
NC2313,Volucella inanis,0
NC2313,Volucella inflata,0
NC2313,Volucella pellucens,0
NC2313,Xanthogramma pedissequum,0
NC2313,Xanthogramma stackelbergi,0
NC2313,Xylota abiens,0
NC2313,Xylota jakutorum,0
NC2313,Xylota segnis,0
NC2313,Xylota sylvarum,0
NC5762,Anasimyia contracta,0
NC5762,Anasimyia lineata,0
NC5762,Anasimyia transfuga,0
NC5762,Andrena alfkenella,0
NC5762,Andrena angustior,0
NC5762,Andrena bicolor,0
NC5762,Andrena bucephala,0
NC5762,Andrena chrysosceles,0
NC5762,Andrena cineraria,0
NC5762,Andrena coitana,0
NC5762,Andrena denticulata,0
NC5762,Andrena dorsata,0
NC5762,Andrena flavipes,0
NC5762,Andrena fucata,0
NC5762,Andrena fulva,0
NC5762,Andrena haemorrhoa,0
NC5762,Andrena helvola,0
NC5762,Andrena humilis,0
NC5762,Andrena lapponica,0
NC5762,Andrena minutula,0
NC5762,Andrena nigriceps,0
NC5762,Andrena nigroaenea,0
NC5762,Andrena nitida,0
NC5762,Andrena scotica,0
NC5762,Andrena semilaevis,0
NC5762,Andrena subopaca,0
NC5762,Andrena synadelpha,0
NC5762,Andrena tarsata,0
NC5762,Andrena thoracica,0
NC5762,Andrena trimmerana,0
NC5762,Andrena wilkella,0
NC5762,Anthidium manicatum,0
NC5762,Anthophora furcata,0
NC5762,Anthophora plumipes,0
NC5762,Apis mellifera,0
NC5762,Arctophila superbiens,0
NC5762,Bombus barbutellus,0
NC5762,Bombus bohemicus,0
NC5762,Bombus campestris,0
NC5762,Bombus hortorum,0
NC5762,Bombus humilis,0
NC5762,Bombus hypnorum,0
NC5762,Bombus jonellus,5
NC5762,Bombus lapidarius,0
NC5762,Bombus lucorum,0
NC5762,Bombus monticola,0
NC5762,Bombus muscorum,1
NC5762,Bombus pascuorum,0
NC5762,Bombus pratorum,0
NC5762,Bombus ruderarius,0
NC5762,Bombus ruderatus,0
NC5762,Bombus rupestris,0
NC5762,Bombus soroeensis,0
NC5762,Bombus sylvestris,0
NC5762,Bombus terrestris,0
NC5762,Bombus vestalis,0
NC5762,Chalcosyrphus nemorum,0
NC5762,Cheilosia albitarsis,0
NC5762,Cheilosia bergenstammi,0
NC5762,Cheilosia fraterna,0
NC5762,Cheilosia illustrata,0
NC5762,Cheilosia lasiopa,0
NC5762,Cheilosia latifrons,0
NC5762,Cheilosia pagana,0
NC5762,Cheilosia proxima,0
NC5762,Cheilosia soror,0
NC5762,Cheilosia vernalis,0
NC5762,Chelostoma campanularum,0
NC5762,Chrysogaster cemiteriorum,0
NC5762,Chrysogaster virescens,0
NC5762,Chrysotoxum arcuatum,0
NC5762,Chrysotoxum bicinctum,0
NC5762,Chrysotoxum festivum,0
NC5762,Chrysotoxum verralli,0
NC5762,Coelioxys elongata,0
NC5762,Coelioxys inermis,0
NC5762,Colletes similis,0
NC5762,Colletes succinctus,0
NC5762,Dasypoda hirtipes,0
NC5762,Dasysyrphus albostriatus,0
NC5762,Dasysyrphus neovenustus,0
NC5762,Dasysyrphus tricinctus,0
NC5762,Dasysyrphus venustus,0
NC5762,Epistrophe grossulariae,0
NC5762,Episyrphus balteatus,1
NC5762,Eristalinus aeneus,0
NC5762,Eristalinus sepulchralis,0
NC5762,Eristalis abusiva,0
NC5762,Eristalis abusivus,0
NC5762,Eristalis arbustorum,0
NC5762,Eristalis horticola,0
NC5762,Eristalis intricaria,0
NC5762,Eristalis intricarius,1
NC5762,Eristalis nemorum,0
NC5762,Eristalis pertinax,0
NC5762,Eristalis rupium,0
NC5762,Eristalis tenax,0
NC5762,Eucera longicornis,0
NC5762,Eumerus funeralis,0
NC5762,Eumerus ornatus,0
NC5762,Eumerus strigatus,0
NC5762,Eupeodes corollae,1
NC5762,Eupeodes latifasciatus,0
NC5762,Eupeodes luniger,0
NC5762,Ferdinandea cuprea,0
NC5762,Halictus confusus,0
NC5762,Halictus eurygnathus,0
NC5762,Halictus rubicundus,0
NC5762,Halictus tumulorum,0
NC5762,Helophilus hybridus,0
NC5762,Helophilus pendulus,0
NC5762,Helophilus trivittatus,0
NC5762,Hylaeus brevicornis,0
NC5762,Hylaeus communis,0
NC5762,Hylaeus confusus,0
NC5762,Hylaeus dilatatus,0
NC5762,Hylaeus hyalinatus,0
NC5762,Hylaeus pectoralis,0
NC5762,Lasioglossum albipes,0
NC5762,Lasioglossum calceatum,0
NC5762,Lasioglossum cupromicans,0
NC5762,Lasioglossum fratellum,0
NC5762,Lasioglossum fulvicorne,0
NC5762,Lasioglossum laevigatum,0
NC5762,Lasioglossum lativentre,0
NC5762,Lasioglossum leucopus,0
NC5762,Lasioglossum leucozonium,0
NC5762,Lasioglossum malachurum,0
NC5762,Lasioglossum minutissimum,0
NC5762,Lasioglossum morio,0
NC5762,Lasioglossum parvulum,0
NC5762,Lasioglossum pauperatum,0
NC5762,Lasioglossum pauxillum,0
NC5762,Lasioglossum punctatissimum,0
NC5762,Lasioglossum puncticolle,0
NC5762,Lasioglossum quadrinotatum,0
NC5762,Lasioglossum rufitarse,0
NC5762,Lasioglossum smeathmanellum,0
NC5762,Lasioglossum villosulum,0
NC5762,Lasioglossum xanthopus,0
NC5762,Lasioglossum zonulum,0
NC5762,Lejogaster metallina,0
NC5762,Leucozona glaucia,0
NC5762,Leucozona laternaria,0
NC5762,Macropis europaea,0
NC5762,Megachile centuncularis,0
NC5762,Megachile ligniseca,0
NC5762,Megachile versicolor,0
NC5762,Megachile willughbiella,0
NC5762,Melangyna cincta,0
NC5762,Melangyna labiatarum,0
NC5762,Melangyna lasiophthalma,0
NC5762,Melangyna umbellatarum,0
NC5762,Melanogaster aerosa,0
NC5762,Melanogaster hirtella,1
NC5762,Melanostoma form,0
NC5762,Melanostoma mellinum,1
NC5762,Melanostoma scalare,0
NC5762,Meliscaeva auricollis,0
NC5762,Meliscaeva cinctella,0
NC5762,Melitta leporina,0
NC5762,Merodon equestris,0
NC5762,Myathropa florea,0
NC5762,Neoascia geniculata,0
NC5762,Neoascia meticulosa,0
NC5762,Neoascia podagrica,0
NC5762,Neoascia tenur,1
NC5762,Nomada fabriciana,0
NC5762,Nomada flava,0
NC5762,Nomada flavoguttata,0
NC5762,Nomada flavopicta,0
NC5762,Nomada fucata,0
NC5762,Nomada goodeniana,0
NC5762,Nomada lathburiana,0
NC5762,Nomada marshamella,0
NC5762,Nomada obtusifrons,0
NC5762,Nomada panzeri,0
NC5762,Nomada ruficornis,0
NC5762,Nomada striata,0
NC5762,Orthonevra nobilis,0
NC5762,Osmia bicolor,0
NC5762,Osmia bicornis,0
NC5762,Osmia caerulescens,0
NC5762,Osmia leaiana,0
NC5762,Osmia spinulosa,0
NC5762,Panurgus banksianus,0
NC5762,Panurgus calcaratus,0
NC5762,Parasyrphus punctulatus,0
NC5762,Parhelophilus frutetorum,0
NC5762,Parhelophilus versicolor,0
NC5762,Pipiza bimaculata,0
NC5762,Pipizella viduata,0
NC5762,Platycheirus albimanus,0
NC5762,Platycheirus clypeatus,0
NC5762,Platycheirus granditarsus,0
NC5762,Platycheirus manicatus,1
NC5762,Platycheirus nielseni,0
NC5762,Platycheirus peltatus,0
NC5762,Platycheirus ramsarensis,0
NC5762,Platycheirus rosarum,0
NC5762,Platycheirus scutatus,0
NC5762,Platycheirus tarsalis,0
NC5762,Rhingia campestris,0
NC5762,Rhingia rostrata,0
NC5762,Riponnensia splendens,0
NC5762,Scaeva pyrastri,0
NC5762,Scaeva selenitica,0
NC5762,Sericomyia lappona,0
NC5762,Sericomyia silentis,2
NC5762,Sericomyia superbiens,0
NC5762,Sphaerophoria fatarum,0
NC5762,Sphaerophoria interrupta,0
NC5762,Sphaerophoria philanthus,0
NC5762,Sphaerophoria rueppellii,0
NC5762,Sphaerophoria scripta,0
NC5762,Sphaerophoria taeniata,0
NC5762,Sphecodes crassus,0
NC5762,Sphecodes ephippius,0
NC5762,Sphecodes ferruginatus,0
NC5762,Sphecodes geoffrellus,0
NC5762,Sphecodes monilicornis,0
NC5762,Sphecodes niger,0
NC5762,Sphegina clunipes,0
NC5762,Syritta pipiens,0
NC5762,Syrphus rectus,0
NC5762,Syrphus ribesii,0
NC5762,Syrphus torvus,0
NC5762,Syrphus vitripennis,0
NC5762,Tropidia scita,0
NC5762,Volucella bombylans,0
NC5762,Volucella inanis,0
NC5762,Volucella inflata,0
NC5762,Volucella pellucens,0
NC5762,Xanthogramma pedissequum,0
NC5762,Xanthogramma stackelbergi,0
NC5762,Xylota abiens,0
NC5762,Xylota jakutorum,0
NC5762,Xylota segnis,0
NC5762,Xylota sylvarum,0
NC7158,Anasimyia contracta,0
NC7158,Anasimyia lineata,0
NC7158,Anasimyia transfuga,0
NC7158,Andrena alfkenella,0
NC7158,Andrena angustior,0
NC7158,Andrena bicolor,0
NC7158,Andrena bucephala,0
NC7158,Andrena chrysosceles,0
NC7158,Andrena cineraria,0
NC7158,Andrena coitana,1
NC7158,Andrena denticulata,0
NC7158,Andrena dorsata,0
NC7158,Andrena flavipes,0
NC7158,Andrena fucata,0
NC7158,Andrena fulva,0
NC7158,Andrena haemorrhoa,1
NC7158,Andrena helvola,0
NC7158,Andrena humilis,0
NC7158,Andrena lapponica,0
NC7158,Andrena minutula,0
NC7158,Andrena nigriceps,0
NC7158,Andrena nigroaenea,0
NC7158,Andrena nitida,0
NC7158,Andrena scotica,0
NC7158,Andrena semilaevis,0
NC7158,Andrena subopaca,0
NC7158,Andrena synadelpha,0
NC7158,Andrena tarsata,0
NC7158,Andrena thoracica,0
NC7158,Andrena trimmerana,0
NC7158,Andrena wilkella,0
NC7158,Anthidium manicatum,0
NC7158,Anthophora furcata,0
NC7158,Anthophora plumipes,0
NC7158,Apis mellifera,0
NC7158,Arctophila superbiens,0
NC7158,Bombus barbutellus,0
NC7158,Bombus bohemicus,0
NC7158,Bombus campestris,0
NC7158,Bombus hortorum,0
NC7158,Bombus humilis,0
NC7158,Bombus hypnorum,0
NC7158,Bombus jonellus,0
NC7158,Bombus lapidarius,0
NC7158,Bombus lucorum,0
NC7158,Bombus monticola,0
NC7158,Bombus muscorum,1
NC7158,Bombus pascuorum,1
NC7158,Bombus pratorum,0
NC7158,Bombus ruderarius,0
NC7158,Bombus ruderatus,0
NC7158,Bombus rupestris,0
NC7158,Bombus soroeensis,2
NC7158,Bombus sylvestris,0
NC7158,Bombus terrestris,0
NC7158,Bombus vestalis,0
NC7158,Chalcosyrphus nemorum,0
NC7158,Cheilosia albitarsis,0
NC7158,Cheilosia bergenstammi,0
NC7158,Cheilosia fraterna,0
NC7158,Cheilosia illustrata,0
NC7158,Cheilosia lasiopa,0
NC7158,Cheilosia latifrons,0
NC7158,Cheilosia pagana,0
NC7158,Cheilosia proxima,0
NC7158,Cheilosia soror,0
NC7158,Cheilosia vernalis,0
NC7158,Chelostoma campanularum,0
NC7158,Chrysogaster cemiteriorum,0
NC7158,Chrysogaster virescens,0
NC7158,Chrysotoxum arcuatum,0
NC7158,Chrysotoxum bicinctum,0
NC7158,Chrysotoxum festivum,0
NC7158,Chrysotoxum verralli,0
NC7158,Coelioxys elongata,0
NC7158,Coelioxys inermis,0
NC7158,Colletes similis,0
NC7158,Colletes succinctus,0
NC7158,Dasypoda hirtipes,0
NC7158,Dasysyrphus albostriatus,0
NC7158,Dasysyrphus neovenustus,0
NC7158,Dasysyrphus tricinctus,0
NC7158,Dasysyrphus venustus,0
