x1km_square,flower_species,n_observed_flowers,flower_genus
NC0429,Cytisus scoparius,0,Cytisus
NC0429,Dactylorhiza fuchsii,0,Dactylorhiza
NC0429,Dactylorhiza maculata,12,Dactylorhiza
NC0429,Daucus carota,0,Daucus
NC0429,Digitalis ferruginea,0,Digitalis
NC0429,Digitalis grandiflora,0,Digitalis
NC0429,Digitalis purpurea,0,Digitalis
NC0429,Dioscorea communis,0,Dioscorea
NC0429,Doronicum plantagineum,0,Doronicum
NC0429,Drosera anglica,0,Drosera
NC0429,Drosera rotundifolia,0,Drosera
NC0429,Dryas octopetala,0,Dryas
NC0429,Epilobium hirsutum,0,Epilobium
NC0429,Epilobium montanum,0,Epilobium
NC0429,Epilobium obscurum,0,Epilobium
NC0429,Epilobium palustre,0,Epilobium
NC0429,Epilobium parviflorum,0,Epilobium
NC0429,Epilobium roseum,0,Epilobium
NC0429,Epilobium tetragonum,0,Epilobium
NC0429,Erica cinerea,638,Erica
NC0429,Erica tetralix,436,Erica
NC0429,Eriophorum vaginatum,0,Eriophorum
NC0429,Eupatorium cannabinum,0,Eupatorium
NC0429,Euphorbia exigua,0,Euphorbia
NC0429,Euphorbia helioscopia,0,Euphorbia
NC0429,Euphrasia officinalis,0,Euphrasia
NC0429,Fagopyrum esculentum,0,Fagopyrum
NC0429,Fallopia convolvulus,0,Fallopia
NC0429,Filipendula ulmaria,0,Filipendula
NC0429,Fumaria officinalis,0,Fumaria
NC0429,Galeopsis speciosa,0,Galeopsis
NC0429,Galeopsis tetrahit,0,Galeopsis
NC0429,Galium aparine,0,Galium
NC0429,Galium mollugo,0,Galium
NC0429,Galium odoratum,0,Galium
NC0429,Galium palustre,0,Galium
NC0429,Galium saxatile,341,Galium
NC0429,Galium verum,0,Galium
NC0429,Genista anglica,0,Genista
NC0429,Geranium dissectum,0,Geranium
NC0429,Geranium molle,0,Geranium
NC0429,Geranium nodosum,0,Geranium
NC0429,Geranium pratense,0,Geranium
NC0429,Geranium pyrenaicum,0,Geranium
NC0429,Geranium robertianum,0,Geranium
NC0429,Geum urbanum,0,Geum
NC0429,Glechoma hederacea,0,Glechoma
NC0429,Hedera helix,0,Hedera
NC0429,Helianthus annuus,0,Helianthus
NC0429,Heracleum mantegazzianum,0,Heracleum
NC0429,Heracleum sphondylium,0,Heracleum
NC0429,Hippocrepis comosa,0,Hippocrepis
NC0429,Hordeum vulgare,0,Hordeum
NC0429,Hyacinthoides non,0,Hyacinthoides
NC0429,Hypericum forrestii,0,Hypericum
NC0429,Hypericum perforatum,0,Hypericum
NC0429,Hypericum pulchrum,0,Hypericum
NC0429,Hypericum tetrapterum,0,Hypericum
NC0429,Hypochaeris radicata,0,Hypochaeris
NC0429,Ilex aquifolium,0,Ilex
NC0429,Impatiens glandulifera,0,Impatiens
NC0429,Impatiens parviflora,0,Impatiens
NC0429,Iris pseudacorus,0,Iris
NC0429,Jacobaea erucifolia,0,Jacobaea
NC0429,Jacobaea vulgaris,0,Jacobaea
NC0429,Jasione montana,0,Jasione
NC0429,Juncus conglomeratus,0,Juncus
NC0429,Juncus effusus,0,Juncus
NC0429,Knautia arvensis,0,Knautia
NC0429,Lactuca serriola,0,Lactuca
NC0429,Lamium album,0,Lamium
NC0429,Lamium galeobdolon,0,Lamium
NC0429,Lamium purpureum,0,Lamium
NC0429,Lapsana communis,0,Lapsana
NC0429,Lathyrus aphaca,0,Lathyrus
NC0429,Lathyrus linifolius,0,Lathyrus
NC0429,Lathyrus pratensis,0,Lathyrus
NC0429,Leontodon hispidus,0,Leontodon
NC0429,Leontodon saxatilis,0,Leontodon
NC0429,Leucanthemum vulgare,0,Leucanthemum
NC0429,Ligusticum scoticum,0,Ligusticum
NC0429,Limonium vulgare,0,Limonium
NC0429,Linaria vulgaris,0,Linaria
NC0429,Linum catharticum,0,Linum
NC0429,Linum usitatissimum,0,Linum
NC0429,Lonicera caprifolium,0,Lonicera
NC0429,Lonicera periclymenum,0,Lonicera
NC0429,Lotus angustissimus,0,Lotus
NC0429,Lotus corniculatus,1,Lotus
NC0429,Lotus pedunculatus,0,Lotus
NC0429,Lotus subbiflorus,0,Lotus
NC0429,Luzula campestris,0,Luzula
NC0429,Lysimachia nemorum,0,Lysimachia
NC0429,Lysimachia punctata,0,Lysimachia
NC0429,Lysimachia vulgaris,0,Lysimachia
NC0429,Lythrum alatum,0,Lythrum
NC0429,Lythrum salicaria,0,Lythrum
NC0429,Malva sylvestris,0,Malva
NC0429,Matricaria chamomilla,0,Matricaria
NC0429,Matricaria discoidea,0,Matricaria
NC0429,Medicago lupulina,0,Medicago
NC0429,Melampyrum pratense,0,Melampyrum
NC0429,Mentha aquatica,0,Mentha
NC0429,Mentha arvensis,0,Mentha
NC0429,Mercurialis perennis,0,Mercurialis
NC0429,Myosotis arvensis,0,Myosotis
NC0429,Myosotis discolor,0,Myosotis
NC0429,Myosotis sylvatica,0,Myosotis
NC0429,Narthecium ossifragum,231,Narthecium
NC0429,Odontites vernus,0,Odontites
NC0429,Oenanthe crocata,0,Oenanthe
NC0429,Origanum vulgare,0,Origanum
NC0429,Ornithopus perpusillus,0,Ornithopus
NC0429,Oxalis acetosella,0,Oxalis
NC0429,Panicum miliaceum,0,Panicum
NC0429,Papaver rhoeas,0,Papaver
NC0429,Pedicularis sylvatica,77,Pedicularis
NC0429,Persicaria amplexicaulis,0,Persicaria
NC0429,Persicaria bistorta,0,Persicaria
NC0429,Persicaria hydropiper,0,Persicaria
NC0429,Persicaria lapathifolia,0,Persicaria
NC0429,Persicaria maculosa,0,Persicaria
NC0429,Peucedanum ostruthium,0,Peucedanum
NC0429,Picris echioides,0,Picris
NC0429,Picris hieracioides,0,Picris
NC0429,Pilosella officinarum,0,Pilosella
NC0429,Pimpinella saxifraga,0,Pimpinella
NC0429,Pinguicula vulgaris,6,Pinguicula
NC0429,Plantago lanceolata,0,Plantago
NC0429,Plantago major,0,Plantago
NC0429,Plantago maritima,0,Plantago
NC0429,Poa annua,0,Poa
NC0429,Polygala serpyllifolia,54,Polygala
NC0429,Polygala vulgaris,0,Polygala
NC0429,Polygonum aviculare,0,Polygonum
NC0429,Potentilla anglica,0,Potentilla
NC0429,Potentilla anserina,0,Potentilla
NC0429,Potentilla erecta,1133,Potentilla
NC0429,Potentilla recta,0,Potentilla
NC0429,Potentilla reptans,0,Potentilla
NC0429,Prunella vulgaris,1,Prunella
NC0429,Prunus spinosa,0,Prunus
NC0429,Pulicaria dysenterica,0,Pulicaria
NC0429,Ranunculus acris,0,Ranunculus
NC0429,Ranunculus bulbosus,0,Ranunculus
NC0429,Ranunculus ficaria,0,Ranunculus
NC0429,Ranunculus flammula,6,Ranunculus
NC0429,Ranunculus repens,16,Ranunculus
NC0429,Ranunculus sardous,0,Ranunculus
NC0429,Raphanus raphanistrum,0,Raphanus
NC0429,Raphanus sativus,0,Raphanus
NC0429,Rhinanthus minor,0,Rhinanthus
NC0429,Rosa arvensis,0,Rosa
NC0429,Rosa canina,0,Rosa
NC0429,Rubus caesius,0,Rubus
NC0429,Rubus fruticosus,0,Rubus
NC0429,Rubus idaeus,0,Rubus
NC0429,Rumex acetosa,0,Rumex
NC0429,Rumex acetosella,0,Rumex
NC0429,Rumex crispus,0,Rumex
NC0429,Rumex obtusifolius,0,Rumex
NC0429,Rumex sanguineus,0,Rumex
NC0429,Sagina saginoides,0,Sagina
NC0429,Sambucus nigra,0,Sambucus
NC0429,Sanguisorba officinalis,0,Sanguisorba
NC0429,Scorzoneroides autumnalis,0,Scorzoneroides
NC0429,Scrophularia auriculata,0,Scrophularia
NC0429,Scrophularia nodosa,0,Scrophularia
NC0429,Sedum anglicum,0,Sedum
NC0429,Senecio erucifolius,0,Senecio
NC0429,Senecio jacobaea,0,Senecio
NC0429,Senecio vulgaris,0,Senecio
NC0429,Sherardia arvensis,0,Sherardia
NC0429,Silene dioica,0,Silene
NC0429,Silene latifolia,0,Silene
NC0429,Silybum marianum,0,Silybum
NC0429,Sinapis alba,0,Sinapis
NC0429,Sinapis arvensis,0,Sinapis
NC0429,Sisymbrium officinale,0,Sisymbrium
NC0429,Solanum dulcamara,0,Solanum
NC0429,Solanum nigrum,0,Solanum
NC0429,Solanum tuberosum,0,Solanum
NC0429,Sonchus arvensis,0,Sonchus
NC0429,Sonchus asper,0,Sonchus
NC0429,Sonchus oleraceus,0,Sonchus
NC0429,Sorbus aucuparia,0,Sorbus
NC0429,Spergula arvensis,0,Spergula
NC0429,Spergularia media,0,Spergularia
NC0429,Stachys arvensis,0,Stachys
NC0429,Stachys palustris,0,Stachys
NC0429,Stachys sylvatica,0,Stachys
NC0429,Stellaria alsine,0,Stellaria
NC0429,Stellaria graminea,0,Stellaria
NC0429,Stellaria holostea,0,Stellaria
NC0429,Stellaria media,0,Stellaria
NC0429,Suaeda maritima,0,Suaeda
NC0429,Succisa pratensis,3,Succisa
NC0429,Symphytum officinale,0,Symphytum
NC0429,Taraxacum agg,0,Taraxacum
NC0429,Taraxacum officinale,0,Taraxacum
NC0429,Teucrium scorodonia,0,Teucrium
NC0429,Thlaspi arvense,0,Thlaspi
NC0429,Thymus polytrichus,13,Thymus
NC0429,Thymus vulgaris,0,Thymus
NC0429,Torilis japonica,0,Torilis
NC0429,Tragopogon pratensis,0,Tragopogon
NC0429,Trientalis europaea,0,Trientalis
NC0429,Trifolium arvense,0,Trifolium
NC0429,Trifolium campestre,0,Trifolium
NC0429,Trifolium constantinopolitanum,0,Trifolium
NC0429,Trifolium dubium,0,Trifolium
NC0429,Trifolium pratense,0,Trifolium
NC0429,Trifolium repens,7,Trifolium
NC0429,Tripleurospermum inodorum,0,Tripleurospermum
NC0429,Tripleurospermum maritimum,0,Tripleurospermum
NC0429,Turgenia latifolia,0,Turgenia
NC0429,Ulex europaeus,0,Ulex
NC0429,Ulex gallii,0,Ulex
NC0429,Urtica dioica,0,Urtica
NC0429,Vaccinium myrtillus,0,Vaccinium
NC0429,Vaccinium oxycoccos,0,Vaccinium
NC0429,Vaccinium vitis,0,Vaccinium
NC0429,Valeriana dioica,0,Valeriana
NC0429,Valeriana officinalis,0,Valeriana
NC0429,Verbena officinalis,0,Verbena
NC0429,Verbena x,0,Verbena
NC0429,Veronica agrestis,0,Veronica
NC0429,Veronica arvensis,0,Veronica
NC0429,Veronica beccabunga,0,Veronica
NC0429,Veronica chamaedrys,0,Veronica
NC0429,Veronica hederifolia,0,Veronica
NC0429,Veronica montana,0,Veronica
NC0429,Veronica officinalis,0,Veronica
NC0429,Veronica persica,0,Veronica
NC0429,Veronica polita,0,Veronica
NC0429,Veronica serpyllifolia,0,Veronica
NC0429,Vicia benghalensis,0,Vicia
NC0429,Vicia cracca,0,Vicia
NC0429,Vicia faba,0,Vicia
NC0429,Vicia hirsuta,0,Vicia
NC0429,Vicia lutea,0,Vicia
NC0429,Vicia sativa,0,Vicia
NC0429,Vicia sepium,0,Vicia
NC0429,Vicia spp,0,Vicia
NC0429,Vicia tetrasperma,0,Vicia
NC0429,Viola arvensis,0,Viola
NC0429,Viola canina,0,Viola
NC0429,Viola palustris,0,Viola
NC0429,Viola riviniana,0,Viola
NC0429,Zea mays,0,Zea
NC2313,Acer pseudoplatanus,0,Acer
NC2313,Achillea millefolium,0,Achillea
NC2313,Achillea ptarmica,2,Achillea
NC2313,Aegopodium podagraria,0,Aegopodium
NC2313,Aethusa cynapium,0,Aethusa
NC2313,Ajuga reptans,0,Ajuga
NC2313,Alliaria petiolata,0,Alliaria
NC2313,Alnus glutinosa,0,Alnus
NC2313,Anagallis arvensis,0,Anagallis
NC2313,Anchusa arvensis,0,Anchusa
NC2313,Anemone nemorosa,0,Anemone
NC2313,Angelica sylvestris,0,Angelica
NC2313,Anthemis cotula,0,Anthemis
NC2313,Anthriscus caucalis,0,Anthriscus
NC2313,Anthriscus sylvestris,0,Anthriscus
NC2313,Apium nodiflorum,0,Apium
NC2313,Armeria maritima,0,Armeria
NC2313,Artemisia absinthium,0,Artemisia
NC2313,Artemisia annua,0,Artemisia
NC2313,Artemisia vulgaris,0,Artemisia
NC2313,Aster tripolium,0,Aster
NC2313,Atriplex patula,0,Atriplex
NC2313,Atriplex portulacoides,0,Atriplex
NC2313,Ballota nigra,0,Ballota
NC2313,Barbarea vulgaris,0,Barbarea
NC2313,Bellis perennis,10,Bellis
NC2313,Berula erecta,0,Berula
NC2313,Brassica napus,0,Brassica
NC2313,Brassica oleracea,0,Brassica
NC2313,Brassica rapa,0,Brassica
NC2313,Bryonia dioica,0,Bryonia
NC2313,Buddleja davidii,0,Buddleja
NC2313,Bupleurum tenuissimum,0,Bupleurum
NC2313,Calluna vulgaris,32,Calluna
NC2313,Caltha palustris,0,Caltha
NC2313,Calystegia sepium,0,Calystegia
NC2313,Campanula rotundifolia,0,Campanula
NC2313,Capsella bursa,0,Capsella
NC2313,Cardamine flexuosa,0,Cardamine
NC2313,Cardamine hirsuta,0,Cardamine
NC2313,Cardamine pratensis,0,Cardamine
NC2313,Carduus nutans,0,Carduus
NC2313,Carum verticillatum,0,Carum
NC2313,Centaurea cyanus,0,Centaurea
NC2313,Centaurea nigra,0,Centaurea
NC2313,Centaurea scabiosa,0,Centaurea
NC2313,Centaurium erythraea,0,Centaurium
NC2313,Cerastium arvense,0,Cerastium
NC2313,Cerastium fontanum,0,Cerastium
NC2313,Cerastium glomeratum,0,Cerastium
NC2313,Ceratocapnos claviculata,0,Ceratocapnos
NC2313,Chaerophyllum temulum,0,Chaerophyllum
NC2313,Chamaemelum nobile,0,Chamaemelum
NC2313,Chamerion angustifolium,0,Chamerion
NC2313,Chenopodium album,0,Chenopodium
NC2313,Chenopodium ficifolium,0,Chenopodium
NC2313,Chenopodium quinoa,0,Chenopodium
NC2313,Cichorium intybus,0,Cichorium
NC2313,Circaea lutetiana,0,Circaea
NC2313,Cirsium arvense,0,Cirsium
NC2313,Cirsium eriophorum,0,Cirsium
NC2313,Cirsium palustre,10,Cirsium
NC2313,Cirsium vulgare,0,Cirsium
NC2313,Clematis vitalba,0,Clematis
NC2313,Clinopodium vulgare,0,Clinopodium
NC2313,Conium maculatum,0,Conium
NC2313,Conopodium majus,0,Conopodium
NC2313,Convolvulus arvensis,0,Convolvulus
NC2313,Conyza canadensis,0,Conyza
NC2313,Cotoneaster salicifolius,0,Cotoneaster
NC2313,Crataegus monogyna,0,Crataegus
NC2313,Crepis capillaris,0,Crepis
NC2313,Crepis vesicaria,0,Crepis
NC2313,Cruciata laevipes,0,Cruciata
NC2313,Cytisus scoparius,0,Cytisus
NC2313,Dactylorhiza fuchsii,0,Dactylorhiza
NC2313,Dactylorhiza maculata,0,Dactylorhiza
NC2313,Daucus carota,0,Daucus
NC2313,Digitalis ferruginea,0,Digitalis
NC2313,Digitalis grandiflora,0,Digitalis
NC2313,Digitalis purpurea,0,Digitalis
NC2313,Dioscorea communis,0,Dioscorea
NC2313,Doronicum plantagineum,0,Doronicum
NC2313,Drosera anglica,0,Drosera
NC2313,Drosera rotundifolia,0,Drosera
NC2313,Dryas octopetala,0,Dryas
NC2313,Epilobium hirsutum,0,Epilobium
NC2313,Epilobium montanum,0,Epilobium
NC2313,Epilobium obscurum,0,Epilobium
NC2313,Epilobium palustre,0,Epilobium
NC2313,Epilobium parviflorum,0,Epilobium
NC2313,Epilobium roseum,0,Epilobium
NC2313,Epilobium tetragonum,0,Epilobium
NC2313,Erica cinerea,32,Erica
NC2313,Erica tetralix,190,Erica
NC2313,Eriophorum vaginatum,0,Eriophorum
NC2313,Eupatorium cannabinum,0,Eupatorium
NC2313,Euphorbia exigua,0,Euphorbia
NC2313,Euphorbia helioscopia,0,Euphorbia
NC2313,Euphrasia officinalis,0,Euphrasia
NC2313,Fagopyrum esculentum,0,Fagopyrum
NC2313,Fallopia convolvulus,0,Fallopia
NC2313,Filipendula ulmaria,0,Filipendula
NC2313,Fumaria officinalis,0,Fumaria
NC2313,Galeopsis speciosa,0,Galeopsis
NC2313,Galeopsis tetrahit,0,Galeopsis
NC2313,Galium aparine,0,Galium
NC2313,Galium mollugo,0,Galium
NC2313,Galium odoratum,0,Galium
NC2313,Galium palustre,0,Galium
NC2313,Galium saxatile,591,Galium
NC2313,Galium verum,0,Galium
NC2313,Genista anglica,0,Genista
NC2313,Geranium dissectum,0,Geranium
NC2313,Geranium molle,0,Geranium
NC2313,Geranium nodosum,0,Geranium
NC2313,Geranium pratense,0,Geranium
NC2313,Geranium pyrenaicum,0,Geranium
NC2313,Geranium robertianum,0,Geranium
NC2313,Geum urbanum,0,Geum
NC2313,Glechoma hederacea,0,Glechoma
NC2313,Hedera helix,0,Hedera
NC2313,Helianthus annuus,0,Helianthus
NC2313,Heracleum mantegazzianum,0,Heracleum
NC2313,Heracleum sphondylium,0,Heracleum
NC2313,Hippocrepis comosa,0,Hippocrepis
NC2313,Hordeum vulgare,0,Hordeum
NC2313,Hyacinthoides non,0,Hyacinthoides
NC2313,Hypericum forrestii,0,Hypericum
NC2313,Hypericum perforatum,0,Hypericum
NC2313,Hypericum pulchrum,0,Hypericum
NC2313,Hypericum tetrapterum,0,Hypericum
NC2313,Hypochaeris radicata,0,Hypochaeris
NC2313,Ilex aquifolium,0,Ilex
NC2313,Impatiens glandulifera,0,Impatiens
NC2313,Impatiens parviflora,0,Impatiens
NC2313,Iris pseudacorus,0,Iris
NC2313,Jacobaea erucifolia,0,Jacobaea
NC2313,Jacobaea vulgaris,0,Jacobaea
NC2313,Jasione montana,0,Jasione
NC2313,Juncus conglomeratus,0,Juncus
NC2313,Juncus effusus,0,Juncus
NC2313,Knautia arvensis,0,Knautia
NC2313,Lactuca serriola,0,Lactuca
NC2313,Lamium album,0,Lamium
NC2313,Lamium galeobdolon,0,Lamium
NC2313,Lamium purpureum,0,Lamium
NC2313,Lapsana communis,0,Lapsana
NC2313,Lathyrus aphaca,0,Lathyrus
NC2313,Lathyrus linifolius,0,Lathyrus
NC2313,Lathyrus pratensis,0,Lathyrus
NC2313,Leontodon hispidus,0,Leontodon
NC2313,Leontodon saxatilis,0,Leontodon
NC2313,Leucanthemum vulgare,0,Leucanthemum
NC2313,Ligusticum scoticum,0,Ligusticum
NC2313,Limonium vulgare,0,Limonium
NC2313,Linaria vulgaris,0,Linaria
NC2313,Linum catharticum,8,Linum
NC2313,Linum usitatissimum,0,Linum
NC2313,Lonicera caprifolium,0,Lonicera
NC2313,Lonicera periclymenum,0,Lonicera
NC2313,Lotus angustissimus,0,Lotus
NC2313,Lotus corniculatus,17,Lotus
NC2313,Lotus pedunculatus,0,Lotus
NC2313,Lotus subbiflorus,0,Lotus
NC2313,Luzula campestris,0,Luzula
NC2313,Lysimachia nemorum,0,Lysimachia
NC2313,Lysimachia punctata,0,Lysimachia
NC2313,Lysimachia vulgaris,0,Lysimachia
NC2313,Lythrum alatum,0,Lythrum
NC2313,Lythrum salicaria,0,Lythrum
NC2313,Malva sylvestris,0,Malva
NC2313,Matricaria chamomilla,0,Matricaria
NC2313,Matricaria discoidea,0,Matricaria
NC2313,Medicago lupulina,0,Medicago
NC2313,Melampyrum pratense,0,Melampyrum
NC2313,Mentha aquatica,0,Mentha
NC2313,Mentha arvensis,0,Mentha
NC2313,Mercurialis perennis,0,Mercurialis
NC2313,Myosotis arvensis,0,Myosotis
NC2313,Myosotis discolor,0,Myosotis
NC2313,Myosotis sylvatica,0,Myosotis
NC2313,Narthecium ossifragum,2,Narthecium
NC2313,Odontites vernus,0,Odontites
NC2313,Oenanthe crocata,0,Oenanthe
NC2313,Origanum vulgare,0,Origanum
NC2313,Ornithopus perpusillus,0,Ornithopus
NC2313,Oxalis acetosella,0,Oxalis
NC2313,Panicum miliaceum,0,Panicum
NC2313,Papaver rhoeas,0,Papaver
NC2313,Pedicularis sylvatica,28,Pedicularis
NC2313,Persicaria amplexicaulis,0,Persicaria
NC2313,Persicaria bistorta,0,Persicaria
NC2313,Persicaria hydropiper,0,Persicaria
NC2313,Persicaria lapathifolia,0,Persicaria
NC2313,Persicaria maculosa,0,Persicaria
NC2313,Peucedanum ostruthium,0,Peucedanum
NC2313,Picris echioides,0,Picris
NC2313,Picris hieracioides,0,Picris
NC2313,Pilosella officinarum,0,Pilosella
NC2313,Pimpinella saxifraga,0,Pimpinella
NC2313,Pinguicula vulgaris,2,Pinguicula
NC2313,Plantago lanceolata,0,Plantago
NC2313,Plantago major,0,Plantago
NC2313,Plantago maritima,0,Plantago
NC2313,Poa annua,0,Poa
NC2313,Polygala serpyllifolia,278,Polygala
NC2313,Polygala vulgaris,0,Polygala
NC2313,Polygonum aviculare,0,Polygonum
NC2313,Potentilla anglica,0,Potentilla
NC2313,Potentilla anserina,0,Potentilla
NC2313,Potentilla erecta,519,Potentilla
NC2313,Potentilla recta,0,Potentilla
NC2313,Potentilla reptans,0,Potentilla
NC2313,Prunella vulgaris,22,Prunella
NC2313,Prunus spinosa,0,Prunus
NC2313,Pulicaria dysenterica,0,Pulicaria
NC2313,Ranunculus acris,39,Ranunculus
NC2313,Ranunculus bulbosus,0,Ranunculus
NC2313,Ranunculus ficaria,0,Ranunculus
NC2313,Ranunculus flammula,13,Ranunculus
NC2313,Ranunculus repens,0,Ranunculus
NC2313,Ranunculus sardous,0,Ranunculus
NC2313,Raphanus raphanistrum,0,Raphanus
NC2313,Raphanus sativus,0,Raphanus
NC2313,Rhinanthus minor,0,Rhinanthus
NC2313,Rosa arvensis,0,Rosa
NC2313,Rosa canina,0,Rosa
NC2313,Rubus caesius,0,Rubus
NC2313,Rubus fruticosus,0,Rubus
NC2313,Rubus idaeus,0,Rubus
NC2313,Rumex acetosa,0,Rumex
NC2313,Rumex acetosella,0,Rumex
NC2313,Rumex crispus,0,Rumex
NC2313,Rumex obtusifolius,0,Rumex
NC2313,Rumex sanguineus,0,Rumex
NC2313,Sagina saginoides,0,Sagina
NC2313,Sambucus nigra,0,Sambucus
NC2313,Sanguisorba officinalis,0,Sanguisorba
NC2313,Scorzoneroides autumnalis,0,Scorzoneroides
NC2313,Scrophularia auriculata,0,Scrophularia
NC2313,Scrophularia nodosa,0,Scrophularia
NC2313,Sedum anglicum,0,Sedum
NC2313,Senecio erucifolius,0,Senecio
NC2313,Senecio jacobaea,0,Senecio
NC2313,Senecio vulgaris,0,Senecio
NC2313,Sherardia arvensis,0,Sherardia
NC2313,Silene dioica,0,Silene
NC2313,Silene latifolia,0,Silene
NC2313,Silybum marianum,0,Silybum
NC2313,Sinapis alba,0,Sinapis
NC2313,Sinapis arvensis,0,Sinapis
NC2313,Sisymbrium officinale,0,Sisymbrium
NC2313,Solanum dulcamara,0,Solanum
NC2313,Solanum nigrum,0,Solanum
NC2313,Solanum tuberosum,0,Solanum
NC2313,Sonchus arvensis,0,Sonchus
NC2313,Sonchus asper,0,Sonchus
NC2313,Sonchus oleraceus,0,Sonchus
NC2313,Sorbus aucuparia,0,Sorbus
NC2313,Spergula arvensis,0,Spergula
NC2313,Spergularia media,0,Spergularia
NC2313,Stachys arvensis,0,Stachys
NC2313,Stachys palustris,0,Stachys
NC2313,Stachys sylvatica,0,Stachys
NC2313,Stellaria alsine,0,Stellaria
NC2313,Stellaria graminea,0,Stellaria
NC2313,Stellaria holostea,0,Stellaria
NC2313,Stellaria media,0,Stellaria
NC2313,Suaeda maritima,0,Suaeda
NC2313,Succisa pratensis,0,Succisa
NC2313,Symphytum officinale,0,Symphytum
NC2313,Taraxacum agg,0,Taraxacum
NC2313,Taraxacum officinale,0,Taraxacum
NC2313,Teucrium scorodonia,0,Teucrium
NC2313,Thlaspi arvense,0,Thlaspi
NC2313,Thymus polytrichus,0,Thymus
NC2313,Thymus vulgaris,0,Thymus
NC2313,Torilis japonica,0,Torilis
NC2313,Tragopogon pratensis,0,Tragopogon
NC2313,Trientalis europaea,0,Trientalis
NC2313,Trifolium arvense,0,Trifolium
NC2313,Trifolium campestre,0,Trifolium
NC2313,Trifolium constantinopolitanum,0,Trifolium
NC2313,Trifolium dubium,0,Trifolium
NC2313,Trifolium pratense,16,Trifolium
NC2313,Trifolium repens,2,Trifolium
NC2313,Tripleurospermum inodorum,0,Tripleurospermum
NC2313,Tripleurospermum maritimum,0,Tripleurospermum
NC2313,Turgenia latifolia,0,Turgenia
NC2313,Ulex europaeus,0,Ulex
NC2313,Ulex gallii,0,Ulex
NC2313,Urtica dioica,0,Urtica
NC2313,Vaccinium myrtillus,0,Vaccinium
