Observed,Scaled_Observed,Chao1
224,340.48,249.80645161290323
216,328.32,240.44642857142856
212,322.24,235.27272727272728
217,329.84000000000003,234.56451612903223
209,317.68,260.3611111111111
213,323.76,231.28571428571428
222,337.44,245.29032258064515
208,316.16,228.94230769230768
223,338.96,255.66666666666663
221,335.92,249.16666666666663
219,332.88,259.5
223,338.96,254.1296296296296
208,316.16,244.21428571428572
205,311.6,233.6578947368421
221,335.92,267.0208333333333
224,340.48,262.72
212,322.24,237.35185185185185
220,334.4,264.02173913043475
221,335.92,252.8793103448276
205,311.6,226.78
222,337.44,253.5
215,326.8,235.6428571428571
210,319.2,231.40740740740745
218,331.36,258.0909090909091
218,331.36,276.77777777777777
217,329.84000000000003,250.06521739130432
219,332.88,261
219,332.88,269.3809523809524
219,332.88,254.85185185185185
214,325.28000000000003,252.0952380952381
219,332.88,252.33333333333337
209,317.68,240.3913043478261
214,325.28000000000003,280.125
212,322.24,242.42105263157896
222,337.44,245.1428571428571
217,329.84000000000003,250.33333333333337
219,332.88,246.76923076923077
211,320.72,234.67391304347825
211,320.72,251.26470588235293
220,334.4,262.32
219,332.88,259.19565217391306
215,326.8,253.20454545454544
212,322.24,252.02380952380952
214,325.28000000000003,252.0952380952381
218,331.36,239.40740740740745
218,331.36,258.3333333333333
224,340.48,264.3333333333333
219,332.88,279.63157894736844
214,325.28000000000003,235.875
217,329.84000000000003,240.1428571428571
211,320.72,241.42
224,340.48,270.02272727272725
221,335.92,259.5208333333333
213,323.76,259.02272727272725
223,338.96,251.98275862068965
214,325.28000000000003,258.0238095238095
224,340.48,272.02
222,337.44,255.3793103448276
214,325.28000000000003,241.8409090909091
219,332.88,246.16071428571428
219,332.88,245.22413793103448
206,313.12,230.75
221,335.92,244.29032258064515
218,331.36,241.1428571428571
223,338.96,257.24074074074076
216,328.32,244.88
208,316.16,229.78
215,326.8,244.6296296296296
218,331.36,248.76923076923077
219,332.88,249.41379310344828
219,332.88,251.3269230769231
222,337.44,245.55769230769232
218,331.36,248.0178571428571
213,323.76,246.06521739130432
221,335.92,259.3478260869565
213,323.76,238.92
221,335.92,267.02272727272725
217,329.84000000000003,257.19565217391306
221,335.92,246.78571428571428
215,326.8,277.2352941176471
210,319.2,265.225
215,326.8,246.6875
217,329.84000000000003,240.1428571428571
219,332.88,255.36363636363637
216,328.32,242.74074074074073
227,345.04,264.7857142857143
226,343.52,265.44642857142856
213,323.76,243.42
216,328.32,249.62
214,325.28000000000003,254.0263157894737
218,331.36,248.76923076923077
220,334.4,258.72
217,329.84000000000003,246.25
226,343.52,256.41379310344826
215,326.8,277.2352941176471
218,331.36,254.36363636363637
227,345.04,263.1607142857143
215,326.8,241.74074074074073
208,316.16,246.20454545454544
210,319.2,246.1
219,332.88,245.74074074074073
213,323.76,253.19565217391303
220,334.4,254.7826086956522
221,335.92,257.75
216,328.32,246.42
218,331.36,280.2352941176471
216,328.32,236.41666666666663
219,332.88,253.5681818181818
215,326.8,238.1428571428571
228,346.56,268.9074074074074
220,334.4,266.0952380952381
218,331.36,262.3076923076923
217,329.84000000000003,255.94230769230768
215,326.8,236.390625
215,326.8,249.5681818181818
217,329.84000000000003,251.7826086956522
224,340.48,268.0833333333333
216,328.32,250.7826086956522
215,326.8,244.25
222,337.44,260.3478260869565
213,323.76,240.76923076923077
212,322.24,242.0178571428571
223,338.96,254.5
225,342,265.6923076923077
213,323.76,240
223,338.96,260.7857142857143
219,332.88,253.91379310344828
221,335.92,249.01666666666665
214,325.28000000000003,238.44642857142856
215,326.8,257.025
218,331.36,240.3448275862069
214,325.28000000000003,245.6875
205,311.6,232.52380952380952
218,331.36,251.62
214,325.28000000000003,246
217,329.84000000000003,275.13157894736844
220,334.4,268.4
220,334.4,250.0178571428571
221,335.92,245.53225806451613
221,335.92,265
221,335.92,246.46969696969697
220,334.4,258.3478260869565
222,337.44,294.9
213,323.76,240.16071428571428
217,329.84000000000003,252.55769230769232
220,334.4,251.1296296296296
209,317.68,247.025
219,332.88,263.0238095238095
214,325.28000000000003,247.06521739130432
219,332.88,255.75
222,337.44,262.0909090909091
218,331.36,247.25
220,334.4,256.98
223,338.96,290.6
221,335.92,252.1296296296296
211,320.72,244.9230769230769
224,340.48,245.23529411764707
220,334.4,260.0238095238095
217,329.84000000000003,240.1428571428571
220,334.4,251.2258064516129
212,322.24,248.21428571428572
216,328.32,248.8181818181818
220,334.4,248.57142857142856
217,329.84000000000003,249.8181818181818
210,319.2,250.02380952380952
220,334.4,246.74074074074073
211,320.72,249
217,329.84000000000003,247.42
222,337.44,259.5
214,325.28000000000003,263.44117647058823
220,334.4,241.40740740740745
212,322.24,235.12
208,316.16,223.0178571428571
207,314.64,234
215,326.8,243.16666666666663
215,326.8,239.8965517241379
214,325.28000000000003,262.6578947368421
225,342,255.0178571428571
215,326.8,249.5681818181818
219,332.88,265.0208333333333
212,322.24,233.1206896551724
217,329.84000000000003,253.54347826086956
213,323.76,249.54347826086956
222,337.44,258.54347826086956
213,323.76,240.38
221,335.92,261.5
223,338.96,249.22413793103448
205,311.6,243
218,331.36,268.625
219,332.88,252.06521739130432
223,338.96,259.98
214,325.28000000000003,234.6428571428571
219,332.88,255.54347826086956
221,335.92,251.42
220,334.4,245.46969696969697
213,323.76,247.3809523809524
215,326.8,244.25
217,329.84000000000003,251.5681818181818
219,332.88,243.8965517241379
224,340.48,279.225
221,335.92,257.98
212,322.24,248.75
212,322.24,226.5
219,332.88,267.2142857142857
216,328.32,248.8181818181818
221,335.92,248.16071428571428
213,323.76,249.0263157894737
217,329.84000000000003,257.19565217391306
203,308.56,217.5
221,335.92,271.20454545454544
213,323.76,269.94117647058823
215,326.8,246.3913043478261
218,331.36,246.16666666666663
218,331.36,246.16666666666663
210,319.2,246.1
219,332.88,274.225
219,332.88,254.02083333333337
214,325.28000000000003,242.52083333333337
209,317.68,239.08333333333337
215,326.8,245.42
218,331.36,266.4
211,320.72,257.42105263157896
218,331.36,239.390625
218,331.36,248.42
215,326.8,248.06521739130432
218,331.36,256.0952380952381
214,325.28000000000003,233.22
215,326.8,265.625
214,325.28000000000003,239.35185185185185
222,337.44,260.3478260869565
223,338.96,251.16666666666663
216,328.32,252.36363636363637
225,342,260.28
217,329.84000000000003,234.06666666666663
214,325.28000000000003,264.625
229,348.08,277
207,314.64,245.20454545454544
214,325.28000000000003,228.62857142857143
217,329.84000000000003,250.62
218,331.36,241.6034482758621
222,337.44,282.63157894736844
213,323.76,243.42
219,332.88,245.22413793103448
219,332.88,251.66666666666663
211,320.72,236.92857142857144
222,337.44,253.5
211,320.72,242.3913043478261
217,329.84000000000003,268.3611111111111
209,317.68,245.1
220,334.4,248.52083333333337
221,335.92,256.0208333333333
218,331.36,281.1842105263158
215,326.8,255
220,334.4,253.06521739130432
216,328.32,251.55769230769232
215,326.8,236.33333333333337
214,325.28000000000003,242.88
224,340.48,256.06060606060606
215,326.8,249.7826086956522
217,329.84000000000003,235.15
221,335.92,258.2307692307692
213,323.76,232.69230769230768
218,331.36,245.38
218,331.36,245.76923076923077
218,331.36,254.75
214,325.28000000000003,250.54347826086956
219,332.88,251.4
223,338.96,267
214,325.28000000000003,246.66666666666663
222,337.44,266.02173913043475
215,326.8,239.5
208,316.16,238.625
229,348.08,290.92857142857144
219,332.88,265.225
219,332.88,267.4
215,326.8,242.76923076923077
213,323.76,239.74074074074073
217,329.84000000000003,239.81666666666663
218,331.36,252.225
224,340.48,264.9074074074074
220,334.4,250.76923076923077
207,314.64,247.11111111111111
213,323.76,241.17391304347825
220,334.4,246.66666666666663
221,335.92,274.2894736842105
223,338.96,253.76923076923077
218,331.36,244.32692307692307
214,325.28000000000003,242.17391304347825
222,337.44,268
221,335.92,251.76923076923077
211,320.72,241.8571428571429
207,314.64,236.16666666666663
220,334.4,248.88
211,320.72,237.6304347826087
215,326.8,273.77777777777777
210,319.2,256.0952380952381
223,338.96,251.16666666666663
216,328.32,243.76923076923077
212,322.24,244.5952380952381
217,329.84000000000003,250.06521739130432
213,323.76,251.20454545454544
220,334.4,242.3448275862069
219,332.88,261.02272727272725
214,325.28000000000003,248.225
214,325.28000000000003,242.17391304347825
206,313.12,242
218,331.36,234.66666666666663
221,335.92,245.8965517241379
221,335.92,263.0869565217391
220,334.4,249.6296296296296
213,323.76,251.0952380952381
214,325.28000000000003,237.55769230769232
213,323.76,241.57142857142856
221,335.92,244.29032258064515
212,322.24,246.225
219,332.88,255.98
217,329.84000000000003,261.0833333333333
227,345.04,254.5625
223,338.96,260.7857142857143
220,334.4,262.1875
222,337.44,266.18
217,329.84000000000003,257.19565217391306
217,329.84000000000003,259
214,325.28000000000003,270.25
215,326.8,245.08333333333337
222,337.44,249.58620689655172
217,329.84000000000003,251.7826086956522
211,320.72,249
213,323.76,245.3269230769231
217,329.84000000000003,242.78571428571428
217,329.84000000000003,252.55769230769232
216,328.32,256.19565217391306
220,334.4,260.5
218,331.36,245.16071428571428
215,326.8,251.1
221,335.92,264.1034482758621
219,332.88,251
221,335.92,263.0869565217391
215,326.8,234.44642857142856
219,332.88,241.3448275862069
223,338.96,254.1296296296296
209,317.68,239.8571428571429
211,320.72,251.19565217391303
212,322.24,236.92307692307693
216,328.32,243.76923076923077
209,317.68,235.27272727272728
226,343.52,259.75
222,337.44,249.58620689655172
219,332.88,247.57142857142856
225,342,263.72
218,331.36,246.88
210,319.2,242.8181818181818
211,320.72,235.08333333333337
214,325.28000000000003,264.9473684210526
216,328.32,239.1428571428571
219,332.88,243.8965517241379
204,310.08,246.1052631578947
213,323.76,229.51612903225805
212,322.24,240.52083333333337
213,323.76,236.55769230769232
218,331.36,251.62
216,328.32,251.02083333333337
216,328.32,249.06521739130432
221,335.92,271.0869565217391
224,340.48,270
217,329.84000000000003,255.20454545454544
212,322.24,243.3913043478261
219,332.88,254.28
211,320.72,232.78
213,323.76,249.54347826086956
213,323.76,251.0952380952381
222,337.44,268.02272727272725
220,334.4,260.3333333333333
218,331.36,242.44642857142856
218,331.36,251.62
218,331.36,254.75
214,325.28000000000003,243.16666666666663
216,328.32,262.225
206,313.12,232.6304347826087
216,328.32,243.38
217,329.84000000000003,248.6875
218,331.36,254.48275862068965
226,343.52,270.02173913043475
223,338.96,248.2
220,334.4,256.98
214,325.28000000000003,254.0909090909091
217,329.84000000000003,270.77777777777777
212,322.24,246.24074074074073
221,335.92,258.2307692307692
216,328.32,249.9230769230769
213,323.76,241.52083333333337
218,331.36,248.08333333333337
217,329.84000000000003,245.17391304347825
220,334.4,243.1428571428571
212,322.24,243.11363636363637
202,307.04,240
219,332.88,257.0952380952381
217,329.84000000000003,245.16666666666663
216,328.32,260.0238095238095
218,331.36,254.54347826086956
211,320.72,245.7826086956522
220,334.4,250.41379310344828
213,323.76,251.0952380952381
214,325.28000000000003,296.2857142857143
218,331.36,252.57142857142856
226,343.52,278.0833333333333
213,323.76,245.3269230769231
214,325.28000000000003,237.12
222,337.44,253.1296296296296
226,343.52,263.2307692307692
219,332.88,255.98
212,322.24,234.6851851851852
211,320.72,249.20454545454544
215,326.8,240.92
218,331.36,251.3793103448276
218,331.36,253.28
217,329.84000000000003,275.77777777777777
219,332.88,254.28
219,332.88,254.02083333333337
218,331.36,252.24074074074073
212,322.24,235.55769230769232
219,332.88,251
217,329.84000000000003,253.54347826086956
213,323.76,235.8809523809524
216,328.32,252.36363636363637
219,332.88,251
226,343.52,266.3333333333333
220,334.4,262.025
216,328.32,251.28
219,332.88,269.9473684210526
221,335.92,261.0909090909091
214,325.28000000000003,236.23076923076923
221,335.92,251.81666666666663
212,322.24,240.88
215,326.8,242.52380952380952
217,329.84000000000003,249.66666666666663
207,314.64,225.28571428571428
223,338.96,267
207,314.64,260.77777777777777
211,320.72,232.6
219,332.88,241.3448275862069
213,323.76,255
215,326.8,246.11363636363637
220,334.4,255.55769230769232
219,332.88,263.1
214,325.28000000000003,262.0909090909091
221,335.92,263.1875
214,325.28000000000003,246.5952380952381
211,320.72,245.7826086956522
218,331.36,262
217,329.84000000000003,253.75
219,332.88,251.3269230769231
216,328.32,238.81666666666663
218,331.36,249.6875
214,325.28000000000003,244.08333333333337
221,335.92,271.20454545454544
225,342,265.5
209,317.68,233.08333333333337
228,346.56,264.1607142857143
222,337.44,243.6
215,326.8,261.42105263157896
219,332.88,261.1875
220,334.4,250.76923076923077
222,337.44,264.0869565217391
217,329.84000000000003,252.02083333333337
209,317.68,225.17307692307693
208,316.16,231.12
213,323.76,251.025
213,323.76,236.1428571428571
225,342,267.6666666666667
219,332.88,254.55769230769232
217,329.84000000000003,246.25
212,322.24,254.025
216,328.32,231.015625
214,325.28000000000003,262.2142857142857
215,326.8,246.5
211,320.72,233.3448275862069
215,326.8,249.24074074074073
217,329.84000000000003,268.88235294117646
216,328.32,284.4473684210526
220,334.4,254.3809523809524
210,319.2,232.3448275862069
220,334.4,251.8793103448276
217,329.84000000000003,239.0806451612903
219,332.88,265.0952380952381
215,326.8,259.0833333333333
219,332.88,251.3269230769231
216,328.32,246.08333333333337
208,316.16,238.8571428571429
207,314.64,231.5
219,332.88,249.0178571428571
209,317.68,227.48076923076923
220,334.4,243.1428571428571
216,328.32,246.76923076923077
218,331.36,234.5689655172414
216,328.32,266.625
220,334.4,247.76923076923077
224,340.48,260.1607142857143
213,323.76,246.33333333333337
215,326.8,261.225
221,335.92,252.11363636363637
220,334.4,268.02173913043475
217,329.84000000000003,253.54347826086956
223,338.96,273.3809523809524
216,328.32,238.6875
226,343.52,258
219,332.88,261
225,342,277.5952380952381
214,325.28000000000003,242.52083333333337
217,329.84000000000003,249.3269230769231
209,317.68,253.1
209,317.68,227.2826086956522
215,326.8,246.3913043478261
221,335.92,259.0952380952381
216,328.32,243.38
217,329.84000000000003,241.8965517241379
223,338.96,261.5208333333333
213,323.76,245.8181818181818
215,326.8,239.8965517241379
220,334.4,260.19565217391306
217,329.84000000000003,250.62
218,331.36,250.3269230769231
220,334.4,251.1296296296296
216,328.32,242.74074074074073
218,331.36,268.625
219,332.88,247.57142857142856
218,331.36,253.28
223,338.96,265.1875
216,328.32,256.0909090909091
219,332.88,259.0909090909091
221,335.92,265.44444444444446
215,326.8,245.76923076923077
216,328.32,245.6296296296296
217,329.84000000000003,240.55769230769232
216,328.32,252.54347826086956
220,334.4,262
206,313.12,233.52380952380952
223,338.96,247.53225806451613
217,329.84000000000003,240.1428571428571
214,325.28000000000003,247.33333333333337
208,316.16,221.56451612903223
217,329.84000000000003,238.40740740740745
220,334.4,239.05882352941177
212,322.24,244.8181818181818
217,329.84000000000003,247.0178571428571
222,337.44,257.0208333333333
213,323.76,240.76923076923077
217,329.84000000000003,247.41379310344828
214,325.28000000000003,252.20454545454544
219,332.88,252.33333333333337
218,331.36,266.2142857142857
217,329.84000000000003,247.08333333333337
222,337.44,257.28
220,334.4,255.02083333333337
214,325.28000000000003,254.02380952380952
222,337.44,253.6875
222,337.44,260.5208333333333
214,325.28000000000003,240.74074074074073
214,325.28000000000003,292.8928571428571
215,326.8,249.5681818181818
209,317.68,240.11363636363637
218,331.36,253.28
219,332.88,244.1304347826087
211,320.72,235.5
222,337.44,257.28
218,331.36,264.08
213,323.76,240
221,335.92,251.41379310344828
206,313.12,258.65384615384613
219,332.88,236.015625
215,326.8,236.1206896551724
217,329.84000000000003,246.6296296296296
215,326.8,229.71621621621625
219,332.88,243.44642857142856
218,331.36,272.85714285714283
209,317.68,259.625
211,320.72,238.76923076923077
218,331.36,251.0178571428571
213,323.76,251.025
217,329.84000000000003,242.92
212,322.24,261.44117647058823
215,326.8,265.9473684210526
223,338.96,254.5
210,319.2,234.3809523809524
215,326.8,273.77777777777777
222,337.44,244.0806451612903
227,345.04,306.60526315789474
221,335.92,255.24074074074073
213,323.76,273.5
218,331.36,262.02173913043475
215,326.8,243.57142857142856
218,331.36,256.3478260869565
219,332.88,252.0178571428571
219,332.88,265.08
214,325.28000000000003,246.8181818181818
207,314.64,236.45454545454544
209,317.68,233.92307692307693
214,325.28000000000003,260.69444444444446
214,325.28000000000003,260.225
217,329.84000000000003,249
221,335.92,247.72727272727272
216,328.32,234.77586206896552
220,334.4,244.8965517241379
221,335.92,247.265625
223,338.96,255.66666666666663
220,334.4,256.98
221,335.92,254.9230769230769
210,319.2,254.44444444444449
224,340.48,253.25
216,328.32,269.2894736842105
217,329.84000000000003,245.16666666666663
221,335.92,271.9473684210526
218,331.36,254.75
216,328.32,245.25
220,334.4,268.4
211,320.72,238.38
219,332.88,251.66666666666663
217,329.84000000000003,249
215,326.8,255
209,317.68,247.02777777777777
215,326.8,268.2894736842105
217,329.84000000000003,252.02083333333337
218,331.36,250.66666666666663
215,326.8,253.20454545454544
227,345.04,265.5208333333333
211,320.72,235.08333333333337
211,320.72,242.6875
213,323.76,253
217,329.84000000000003,278.3611111111111
218,331.36,249.6875
219,332.88,247.16666666666663
221,335.92,256.0208333333333
213,323.76,241.57142857142856
217,329.84000000000003,241.92307692307693
213,323.76,237.8965517241379
224,340.48,249.2
206,313.12,235.45454545454544
203,308.56,233.625
217,329.84000000000003,239.3448275862069
220,334.4,257.7857142857143
223,338.96,255.66666666666663
211,320.72,236.1304347826087
214,325.28000000000003,264.3809523809524
214,325.28000000000003,237.765625
212,322.24,245.06521739130432
220,334.4,242.71621621621625
226,343.52,268.32
209,317.68,234.52083333333337
220,334.4,239.55714285714285
214,325.28000000000003,232.6451612903226
218,331.36,266.6578947368421
214,325.28000000000003,250.36363636363637
224,340.48,272.02173913043475
217,329.84000000000003,267.9473684210526
223,338.96,267
217,329.84000000000003,268.3611111111111
219,332.88,263.0238095238095
212,322.24,248.21428571428572
224,340.48,266.02272727272725
210,319.2,232.6875
217,329.84000000000003,253.54347826086956
218,331.36,262.0238095238095
216,328.32,252.21428571428572
214,325.28000000000003,238.5
217,329.84000000000003,241.06666666666663
219,332.88,241.3448275862069
219,332.88,246.76923076923077
224,340.48,276.5952380952381
216,328.32,236.6428571428571
217,329.84000000000003,240.6034482758621
214,325.28000000000003,244.42
215,326.8,244.16666666666663
213,323.76,269.94117647058823
212,322.24,261.44117647058823
209,317.68,232.1428571428571
216,328.32,246.0178571428571
220,334.4,253.62
218,331.36,238.74242424242425
217,329.84000000000003,275.13157894736844
217,329.84000000000003,247.42
223,338.96,243.62857142857143
219,332.88,255.98
213,323.76,243.625
218,331.36,248.08333333333337
214,325.28000000000003,260.42105263157896
212,322.24,239.225
214,325.28000000000003,265.3611111111111
221,335.92,267.02272727272725
209,317.68,243.225
213,323.76,239.32692307692307
212,322.24,244.8181818181818
217,329.84000000000003,238.1206896551724
217,329.84000000000003,248.3913043478261
220,334.4,268.02173913043475
216,328.32,254.52083333333337
214,325.28000000000003,244.08333333333337
214,325.28000000000003,242.52083333333337
214,325.28000000000003,237.6034482758621
223,338.96,245.0806451612903
216,328.32,260.7352941176471
212,322.24,242.08333333333337
219,332.88,261.1875
215,326.8,253.34782608695653
221,335.92,240.63636363636363
222,337.44,254.66666666666663
215,326.8,272.78125
223,338.96,261.3478260869565
210,319.2,244.7826086956522
218,331.36,251.33333333333337
219,332.88,286.6
216,328.32,230.1323529411765
212,322.24,246.225
215,326.8,237.6851851851852
217,329.84000000000003,242.78571428571428
213,323.76,251.025
219,332.88,261.1875
219,332.88,241.81666666666663
217,329.84000000000003,240.1428571428571
218,331.36,245
217,329.84000000000003,255.34782608695653
218,331.36,234.01666666666665
215,326.8,241.6304347826087
210,319.2,238.52083333333337
207,314.64,226.44642857142856
206,313.12,224.77586206896552
221,335.92,251.41379310344828
220,334.4,262.0869565217391
217,329.84000000000003,265.02173913043475
208,316.16,222
219,332.88,246.76923076923077
212,322.24,241.16666666666663
215,326.8,253.34782608695653
220,334.4,262.1875
215,326.8,271.94117647058823
221,335.92,257.75
220,334.4,260.19565217391306
208,316.16,232.08333333333337
209,317.68,241.02941176470588
213,323.76,259.69444444444446
218,331.36,273.6842105263158
219,332.88,254.02083333333337
220,334.4,244.92307692307693
218,331.36,242
219,332.88,247.16666666666663
221,335.92,256.28
210,319.2,254.02380952380952
223,338.96,248.35
201,305.52,239.0952380952381
219,332.88,259.0909090909091
218,331.36,249.1296296296296
213,323.76,238.35185185185185
225,342,273.02173913043475
217,329.84000000000003,276.55882352941177
220,334.4,251.8793103448276
214,325.28000000000003,249.28
216,328.32,235.26666666666665
216,328.32,243.38
218,331.36,264.0208333333333
212,322.24,238.74074074074073
212,322.24,261.44117647058823
211,320.72,240.76086956521735
217,329.84000000000003,242.92
219,332.88,259.0909090909091
217,329.84000000000003,244.76923076923077
220,334.4,245.92
213,323.76,237.92307692307693
218,331.36,248.08333333333337
210,319.2,259
221,335.92,245.8965517241379
210,319.2,236.6304347826087
219,332.88,276.6
214,325.28000000000003,249.85185185185185
217,329.84000000000003,257
216,328.32,258.10526315789474
221,335.92,243.3676470588235
220,334.4,253.9230769230769
223,338.96,285.5
211,320.72,231.6428571428571
224,340.48,280.54347826086956
223,338.96,256.01785714285717
219,332.88,247.98275862068965
220,334.4,266
214,325.28000000000003,258
212,322.24,241.16666666666663
216,328.32,242.74074074074073
218,331.36,258.0238095238095
217,329.84000000000003,266
215,326.8,271.25
212,322.24,250
221,335.92,251.0178571428571
222,337.44,278.8181818181818
206,313.12,218.15
213,323.76,249.54347826086956
214,325.28000000000003,243.45454545454544
212,322.24,254.1052631578947
217,329.84000000000003,245.52083333333337
215,326.8,261
212,322.24,235.55769230769232
212,322.24,256.2368421052632
213,323.76,240.76923076923077
209,317.68,225.82
223,338.96,271.0909090909091
218,331.36,244.66666666666663
221,335.92,248.16071428571428
216,328.32,252.36363636363637
214,325.28000000000003,246.5952380952381
219,332.88,243
219,332.88,283
222,337.44,252.42
210,319.2,233.1428571428571
218,331.36,243.35185185185185
217,329.84000000000003,244.76923076923077
212,322.24,228.5689655172414
217,329.84000000000003,242.35185185185185
211,320.72,229.15
220,334.4,249.25
211,320.72,253
215,326.8,238.55769230769232
217,329.84000000000003,257.3333333333333
212,322.24,240.52083333333337
216,328.32,248
221,335.92,261.3333333333333
215,326.8,243.88
218,331.36,243.78571428571428
209,317.68,245.02941176470588
220,334.4,256.75
211,320.72,238.58620689655172
213,323.76,242.76086956521735
213,323.76,240.38
213,323.76,228.68
214,325.28000000000003,269.6842105263158
212,322.24,233.78
209,317.68,228.69230769230768
219,332.88,277.77777777777777
216,328.32,282.125
213,323.76,242.76086956521735
221,335.92,244.765625
219,332.88,250.5
210,319.2,228.28571428571428
220,334.4,262.1875
213,323.76,237.5
224,340.48,260.98
210,319.2,234.92307692307693
218,331.36,256.3478260869565
220,334.4,245.35185185185185
228,346.56,256.4516129032258
217,329.84000000000003,247.76923076923077
216,328.32,240.8965517241379
214,325.28000000000003,250.21428571428572
214,325.28000000000003,252.20454545454544
216,328.32,245.82258064516128
214,325.28000000000003,242.88
210,319.2,242.4
215,326.8,253.20454545454544
223,338.96,267.18
211,320.72,243.4
216,328.32,239.6034482758621
210,319.2,273
213,323.76,262.44117647058823
216,328.32,258.025
216,328.32,250.5681818181818
218,331.36,256.3478260869565
212,322.24,246.5681818181818
212,322.24,236.92307692307693
214,325.28000000000003,236.81666666666663
223,338.96,261.5208333333333
214,325.28000000000003,234.16666666666663
202,307.04,232.1176470588235
218,331.36,251.33333333333337
215,326.8,239.8965517241379
225,342,260.0208333333333
216,328.32,247.6875
214,325.28000000000003,242.52083333333337
215,326.8,233.01470588235293
215,326.8,245.76923076923077
205,311.6,233.17391304347825
218,331.36,246.52083333333337
217,329.84000000000003,245.01666666666665
222,337.44,260.9423076923077
216,328.32,241
218,331.36,254.36363636363637
216,328.32,249.33333333333337
222,337.44,264.02272727272725
215,326.8,249.5681818181818
220,334.4,254.7826086956522
212,322.24,247.55769230769232
220,334.4,241.6
215,326.8,239.92307692307693
223,338.96,262.44642857142856
220,334.4,251.1296296296296
213,323.76,231.6451612903226
219,332.88,254.85185185185185
222,337.44,277.6842105263158
219,332.88,257.5208333333333
208,316.16,225.30769230769232
207,314.64,239.5952380952381
210,319.2,231.1206896551724
214,325.28000000000003,268.3478260869565
215,326.8,251.21428571428572
219,332.88,272.2894736842105
221,335.92,250.25
220,334.4,240.6428571428571
217,329.84000000000003,238.875
213,323.76,238.1304347826087
216,328.32,242.74074074074073
220,334.4,242.6851851851852
216,328.32,252.75
220,334.4,266.08
212,322.24,236
210,319.2,236.32692307692307
217,329.84000000000003,250.06521739130432
218,331.36,256.0952380952381
220,334.4,258.72
210,319.2,252.08695652173913
215,326.8,285.61764705882354
216,328.32,246.08333333333337
210,319.2,261.3611111111111
221,335.92,276.225
218,331.36,271.2894736842105
212,322.24,238.74074074074073
222,337.44,249.58620689655172
214,325.28000000000003,234.6428571428571
216,328.32,274.77777777777777
217,329.84000000000003,242.78571428571428
222,337.44,280.77777777777777
220,334.4,243.04545454545456
222,337.44,286
216,328.32,240.8965517241379
206,313.12,226.48
212,322.24,236.44642857142856
221,335.92,269.02173913043475
226,343.52,252.74074074074073
209,317.68,232.55769230769232
215,326.8,253.34782608695653
216,328.32,248.3269230769231
214,325.28000000000003,254.02380952380952
213,323.76,239.74074074074073
215,326.8,250.55769230769232
221,335.92,286.025
219,332.88,254.55769230769232
210,319.2,235.92
222,337.44,255.9230769230769
