SpeciesName,Genus,Family,Order,Class,Phylum,spec_code,Lmax,TL (trophic level),DepthRangeDeep,K,tm (age of maturity),tmax (maximum age),Lm (length of maturity),EnvTemp,DemersPelag,environment,Marine,Brackish,Freshwater,Macroinvert?,Edible?,FisheriesImportance
Echinorhynchus muraenolepisi,Echinorhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89286,,,,,,,,deep-water,others,marine,TRUE,FALSE,FALSE,No,No,
Echinorhynchus petrotschenkoi,Echinorhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89287,,,1540,,,,,deep-water,host,marine,TRUE,FALSE,FALSE,No,No,
Echinorhynchus salmonis,Echinorhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58026,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Echinorhynchus sebastolobi,Echinorhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89288,,,,,,,,deep-water,host,marine,TRUE,FALSE,FALSE,No,No,
Echinorhynchus serpentulus,Echinorhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58028,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Echinorhynchus trachyrinci,Echinorhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89289,,,1600,,,,,deep-water,host,marine,TRUE,FALSE,FALSE,No,No,
Echinorhynchus truttae,Echinorhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58029,,,,,,,,deep-water,host,marine,TRUE,FALSE,FALSE,No,No,
Solearhynchus soleae,Solearhynchus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58641,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Aspersentis austrinus,Aspersentis,Heteracanthocephalidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89298,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Aspersentis johni,Aspersentis,Heteracanthocephalidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,57408,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Aspersentis megarhynchus,Aspersentis,Heteracanthocephalidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,57407,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Aspersentis minor,Aspersentis,Heteracanthocephalidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89254,0.2,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Aspersentis zanclorhynchi,Aspersentis,Heteracanthocephalidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58031,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Heteracanthocephalus peltorhamphi,Heteracanthocephalus,Heteracanthocephalidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89297,1.6,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Hypoechinorhynchus thermaceri,Hypoechinorhynchus,Hypoechinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,72112,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Dollfusentis bravoae,Dollfusentis,Illiosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58073,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Dollfusentis chandleri,Dollfusentis,Illiosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58074,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Dollfusentis salgadoi,Dollfusentis,Illiosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,2381145,,,,,,,,tropical,host,"marine, brackish, freshwater",TRUE,TRUE,TRUE,No,No,
Koronacantha mexicana,Koronacantha,Illiosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89620,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Tegorhynchus holospinus,Tegorhynchus,Illiosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89261,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Tegorhynchus pectinarius,Tegorhynchus,Illiosentidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,57754,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Longicollum pagrosomi,Longicollum,Pomphorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,57761,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Pomphorhynchus laevis,Pomphorhynchus,Pomphorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,59304,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Pomphorhynchus tereticollis,Pomphorhynchus,Pomphorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58730,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Golvanacanthus blennii,Golvanacanthus,Rhadinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58439,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Gorgorhynchoides bullocki,Gorgorhynchoides,Rhadinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58154,5.3,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Gorgorhynchoides elongatus,Gorgorhynchoides,Rhadinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58153,7.6,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Gorgorhynchoides lintoni,Gorgorhynchoides,Rhadinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58155,7.6,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Gorgorhynchus trachinotus,Gorgorhynchus,Rhadinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89518,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Leptorhynchoides plagicephalus,Leptorhynchoides,Rhadinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58164,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Metacanthocephalus campbelli,Metacanthocephalus,Rhadinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58814,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Metacanthocephalus dalmori,Metacanthocephalus,Rhadinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89296,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Metacanthocephalus johnstoni,Metacanthocephalus,Rhadinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89290,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Micracanthorhynchina kuwaitensis,Micracanthorhynchina,Rhadinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89262,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Rhadinorhynchus capensis,Rhadinorhynchus,Rhadinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58841,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Rhadinorhynchus pristis,Rhadinorhynchus,Rhadinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,59320,2,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Rhadinorhynchus tenuicornis,Rhadinorhynchus,Rhadinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89253,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Sclerocollum robustum,Sclerocollum,Rhadinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58828,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Serrasentis nadakali,Serrasentis,Rhadinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,58855,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Serrasentis sagittifer,Serrasentis,Rhadinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,59311,13,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Trajectura perinsolens,Trajectura,Transvenidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89658,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Transvena annulospinosa,Transvena,Transvenidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,89657,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Oligoterorhynchus campylurus,Oligoterorhynchus,Plagiorhynchidae,Polymorphida,Palaeacanthocephala,Acanthocephala,58983,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Plagiorhynchus adhneri,Plagiorhynchus,Plagiorhynchidae,Polymorphida,Palaeacanthocephala,Acanthocephala,84566,,,,,,,,boreal,host,marine,TRUE,FALSE,FALSE,No,No,
Plagiorhynchus crassicollis,Plagiorhynchus,Plagiorhynchidae,Polymorphida,Palaeacanthocephala,Acanthocephala,58934,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Plagiorhynchus linearis,Plagiorhynchus,Plagiorhynchidae,Polymorphida,Palaeacanthocephala,Acanthocephala,58938,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Andracantha baylisi,Andracantha,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,89295,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Andracantha mergi,Andracantha,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59003,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Arhythmorhynchus comptus,Arhythmorhynchus,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59008,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Arhythmorhynchus frassoni,Arhythmorhynchus,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59005,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Arhythmorhynchus invaginable,Arhythmorhynchus,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,84549,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Arhythmorhynchus longicollis,Arhythmorhynchus,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59015,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Arhythmorhynchus petrochenkoi,Arhythmorhynchus,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59016,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Arhythmorhynchus roseum,Arhythmorhynchus,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,84550,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Arhythmorhynchus trichocephalus,Arhythmorhynchus,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59022,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Bolbosoma balaenae,Bolbosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59027,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Bolbosoma brevicolle,Bolbosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59029,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Bolbosoma capitatum,Bolbosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59030,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Bolbosoma heteracanthis,Bolbosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59032,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Bolbosoma turbinella,Bolbosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59026,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Bolbosoma vasculosum,Bolbosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59303,1.5,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Corynosoma arctocephali,Corynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,89292,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Corynosoma australe,Corynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59038,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Corynosoma beaglense,Corynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,2381083,,,30,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Corynosoma bullosum,Corynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59039,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Corynosoma clavatum,Corynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59042,,,,,,,,tropical,host,marine,TRUE,FALSE,FALSE,No,No,
Corynosoma evae,Corynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,2384836,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Corynosoma hamanni,Corynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59049,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Corynosoma pseudohamanni,Corynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,89202,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Corynosoma reductum,Corynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59298,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Corynosoma semerme,Corynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59292,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Corynosoma shackletoni,Corynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,58738,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
Corynosoma strumosum,Corynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59295,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Corynosoma tunitae,Corynosoma,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59054,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Filicollis anatis,Filicollis,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59058,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Hexaglandula corynosoma,Hexaglandula,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59062,0.38,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Polymorphus altmani,Polymorphus,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,58948,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Polymorphus cetaceum,Polymorphus,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59070,,,,,,,,subtropical,host,marine,TRUE,FALSE,FALSE,No,No,
Polymorphus kenti,Polymorphus,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,58951,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Polymorphus magnus,Polymorphus,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59080,,,,,,,,temperate,host,marine,TRUE,FALSE,FALSE,No,No,
Polymorphus minutus,Polymorphus,Polymorphidae,Polymorphida,Palaeacanthocephala,Acanthocephala,59066,,,,,,,,polar,host,marine,TRUE,FALSE,FALSE,No,No,
