flower_species,english_name,order,family,genus
Apium nodiflorum,Fool's-water-cress,Apiales,Apiaceae,Apium
Hyacinthoides non,Bluebell,Asparagales,Asparagaceae,Hyacinthoides
Caltha palustris,Marsh-marigold,Ranunculales,Ranunculaceae,Caltha
Digitalis ferruginea,Rusty Foxglove,Lamiales,Plantaginaceae,Digitalis
Veronica officinalis,Heath Speedwell,Lamiales,Plantaginaceae,Veronica
Trifolium dubium,Lesser Trefoil,Fabales,Fabaceae,Trifolium
Myosotis discolor,Changing Forget-me-not,NA,Boraginaceae,Myosotis
Sambucus nigra,Elder,Dipsacales,Adoxaceae,Sambucus
Heracleum mantegazzianum,Giant Hogweed,Apiales,Apiaceae,Heracleum
Drosera rotundifolia,Round-leaved Sundew,Caryophyllales,Droseraceae,Drosera
Vicia hirsuta,Hairy Tare,Fabales,Fabaceae,Vicia
Sherardia arvensis,Field Madder,Gentianales,Rubiaceae,Sherardia
Galium mollugo,Hedge Bedstraw,Gentianales,Rubiaceae,Galium
Vicia tetrasperma,Smooth Tare,Fabales,Fabaceae,Vicia
Rumex acetosa,Common Sorrel,Caryophyllales,Polygonaceae,Rumex
Lotus angustissimus,Slender Bird's-foot-trefoil,Fabales,Fabaceae,Lotus
Prunella vulgaris,Hybrid Self-Heal,Lamiales,Lamiaceae,Prunella
Polygala serpyllifolia,Heath Milkwort,Fabales,Polygalaceae,Polygala
Chaerophyllum temulum,Rough Chervil,Apiales,Apiaceae,Chaerophyllum
Rosa canina,NA,Rosales,Rosaceae,Rosa
Vicia cracca,Tufted Vetch,Fabales,Fabaceae,Vicia
Centaurea scabiosa,Greater Knapweed,Asterales,Asteraceae,Centaurea
Brassica napus,Rape,Brassicales,Brassicaceae,Brassica
Lathyrus linifolius,Bitter-vetch,Fabales,Fabaceae,Lathyrus
Trientalis europaea,Chickweed-wintergreen,Ericales,Primulaceae,Trientalis
Cardamine flexuosa,Wavy Bitter-cress,Brassicales,Brassicaceae,Cardamine
Oenanthe crocata,Hemlock Water-dropwort,Apiales,Apiaceae,Oenanthe
Trifolium constantinopolitanum,Clover,Fabales,Fabaceae,Trifolium
Cotoneaster salicifolius,Willow-leaved Cotoneaster,Rosales,Rosaceae,Cotoneaster
Leucanthemum vulgare,Oxeye Daisy,Asterales,Asteraceae,Leucanthemum
Veronica hederifolia,Ivy-leaved Speedwell,Lamiales,Plantaginaceae,Veronica
Stellaria holostea,Greater Stitchwort,Caryophyllales,Caryophyllaceae,Stellaria
Ranunculus bulbosus,Bulbous Buttercup,Ranunculales,Ranunculaceae,Ranunculus
Veronica agrestis,Green Field-speedwell,Lamiales,Plantaginaceae,Veronica
Scrophularia nodosa,Common Figwort,Lamiales,Scrophulariaceae,Scrophularia
Veronica beccabunga,Brooklime,Lamiales,Plantaginaceae,Veronica
Galium odoratum,Woodruff,Gentianales,Rubiaceae,Galium
Symphytum officinale,Common Comfrey,NA,Boraginaceae,Symphytum
Vicia sepium,Bush Vetch,Fabales,Fabaceae,Vicia
Myosotis sylvatica,Wood Forget-me-not,NA,Boraginaceae,Myosotis
Rubus caesius,Dewberry,Rosales,Rosaceae,Rubus
Brassica rapa,Turnip,Brassicales,Brassicaceae,Brassica
Iris pseudacorus,Yellow Iris,Asparagales,Iridaceae,Iris
Taraxacum officinale,Dandelion,Asterales,Asteraceae,Taraxacum
Cytisus scoparius,Broom,Fabales,Fabaceae,Cytisus
Potentilla anglica,Trailing Tormentil,Rosales,Rosaceae,Potentilla
Oxalis acetosella,Wood-sorrel,Oxalidales,Oxalidaceae,Oxalis
Pinguicula vulgaris,Common Butterwort,Lamiales,Lentibulariaceae,Pinguicula
Stellaria alsine,Bog Stitchwort,Caryophyllales,Caryophyllaceae,Stellaria
Ranunculus acris,NA,Ranunculales,Ranunculaceae,Ranunculus
Lamium galeobdolon,Yellow Archangel,Lamiales,Lamiaceae,Lamium
Stachys arvensis,Field Woundwort,Lamiales,Lamiaceae,Stachys
Angelica sylvestris,Wild Angelica,Apiales,Apiaceae,Angelica
Epilobium tetragonum,Square-stalked Willowherb,Myrtales,Onagraceae,Epilobium
Cerastium fontanum,NA,Caryophyllales,Caryophyllaceae,Cerastium
Solanum tuberosum,Potato,Solanales,Solanaceae,Solanum
Digitalis grandiflora,Yellow Foxglove,Lamiales,Plantaginaceae,Digitalis
Dioscorea communis,Black Bryony,Dioscoreales,Dioscoreaceae,Dioscorea
Teucrium scorodonia,Wood Sage,Lamiales,Lamiaceae,Teucrium
Euphrasia officinalis,NA,Lamiales,Orobanchaceae,Euphrasia
Artemisia absinthium,Wormwood,Asterales,Asteraceae,Artemisia
Sedum anglicum,English Stonecrop,Saxifragales,Crassulaceae,Sedum
Hypericum tetrapterum,Square-stalked St John's-wort,Malpighiales,Hypericaceae,Hypericum
Mentha arvensis,Corn Mint,Lamiales,Lamiaceae,Mentha
Senecio jacobaea,Common Ragwort,Asterales,Asteraceae,Senecio
Vicia faba,Broad Bean,Fabales,Fabaceae,Vicia
Euphorbia helioscopia,Sun Spurge,Malpighiales,Euphorbiaceae,Euphorbia
Tripleurospermum maritimum,Sea Mayweed,Asterales,Asteraceae,Tripleurospermum
Conium maculatum,Hemlock,Apiales,Apiaceae,Conium
Chenopodium album,Fat-hen,Caryophyllales,Amaranthaceae,Chenopodium
Sonchus oleraceus,Smooth Sow-thistle,Asterales,Asteraceae,Sonchus
Genista anglica,Petty Whin,Fabales,Fabaceae,Genista
Geranium molle,Dove's-foot Crane's-bill,Geraniales,Geraniaceae,Geranium
Potentilla reptans,Creeping Cinquefoil,Rosales,Rosaceae,Potentilla
Senecio erucifolius,Hoary Ragwort,Asterales,Asteraceae,Senecio
Persicaria amplexicaulis,Red Bistort,Caryophyllales,Polygonaceae,Persicaria
Bryonia dioica,White Bryony,Cucurbitales,Cucurbitaceae,Bryonia
Helianthus annuus,Sunflower,Asterales,Asteraceae,Helianthus
Conyza canadensis,Canadian Fleabane,Asterales,Asteraceae,Conyza
Origanum vulgare,Wild Marjoram,Lamiales,Lamiaceae,Origanum
Linaria vulgaris,Common Toadflax,Lamiales,Plantaginaceae,Linaria
Rubus idaeus,Raspberry,Rosales,Rosaceae,Rubus
Anthemis cotula,Stinking Chamomile,Asterales,Asteraceae,Anthemis
Sanguisorba officinalis,Great Burnet,Rosales,Rosaceae,Sanguisorba
Persicaria hydropiper,Water-pepper,Caryophyllales,Polygonaceae,Persicaria
Limonium vulgare,Common Sea-lavender,Caryophyllales,Plumbaginaceae,Limonium
Solanum nigrum,Black Nightshade,Solanales,Solanaceae,Solanum
Fumaria officinalis,Common Fumitory,Ranunculales,Papaveraceae,Fumaria
Galeopsis speciosa,Large-flowered Hemp-nettle,Lamiales,Lamiaceae,Galeopsis
Persicaria bistorta,Common Bistort,Caryophyllales,Polygonaceae,Persicaria
Dactylorhiza maculata,Heath Spotted-orchid,Asparagales,Orchidaceae,Dactylorhiza
Ranunculus ficaria,Lesser Celandine,Ranunculales,Ranunculaceae,Ranunculus
Cruciata laevipes,Crosswort,Gentianales,Rubiaceae,Cruciata
Crepis vesicaria,Beaked Hawk's-beard,Asterales,Asteraceae,Crepis
Thlaspi arvense,Field Penny-cress,Brassicales,Brassicaceae,Thlaspi
Raphanus raphanistrum,Radish,Brassicales,Brassicaceae,Raphanus
Hippocrepis comosa,Horseshoe Vetch,Fabales,Fabaceae,Hippocrepis
Trifolium campestre,Hop Trefoil,Fabales,Fabaceae,Trifolium
Juncus conglomeratus,Compact Rush,Poales,Juncaceae,Juncus
Epilobium obscurum,Short-fruited Willowherb,Myrtales,Onagraceae,Epilobium
Lotus subbiflorus,Hairy Bird's-foot-trefoil,Fabales,Fabaceae,Lotus
Achillea ptarmica,Sneezewort,Asterales,Asteraceae,Achillea
Persicaria lapathifolia,Pale Persicaria,Caryophyllales,Polygonaceae,Persicaria
Torilis japonica,Upright Hedge-parsley,Apiales,Apiaceae,Torilis
Knautia arvensis,Field Scabious,Dipsacales,Caprifoliaceae,Knautia
Lythrum alatum,Angled Purple-loosestrife,Myrtales,Lythraceae,Lythrum
Armeria maritima,Thrift,Caryophyllales,Plumbaginaceae,Armeria
Ligusticum scoticum,Scottish Lovage,Apiales,Apiaceae,Ligusticum
Cirsium eriophorum,Woolly Thistle,Asterales,Asteraceae,Cirsium
Veronica montana,Wood Speedwell,Lamiales,Plantaginaceae,Veronica
Verbena officinalis,Vervain,Lamiales,Verbenaceae,Verbena
Juncus effusus,Soft-rush,Poales,Juncaceae,Juncus
Leontodon hispidus,Hawkbit,Asterales,Asteraceae,Leontodon
Chenopodium ficifolium,Fig-leaved Goosefoot,Caryophyllales,Amaranthaceae,Chenopodium
Geranium nodosum,Knotted Crane's-bill,Geraniales,Geraniaceae,Geranium
Suaeda maritima,Annual Sea-blite,Caryophyllales,Amaranthaceae,Suaeda
Aster tripolium,Sea Aster,Asterales,Asteraceae,Aster
Ranunculus sardous,Hairy Buttercup,Ranunculales,Ranunculaceae,Ranunculus
Viola canina,Heath Dog-violet,Malpighiales,Violaceae,Viola
Eupatorium cannabinum,Hemp-agrimony,Asterales,Asteraceae,Eupatorium
Cerastium glomeratum,Sticky Mouse-ear,Caryophyllales,Caryophyllaceae,Cerastium
Acer pseudoplatanus,Sycamore,Sapindales,Sapindaceae,Acer
Ajuga reptans,Bugle,Lamiales,Lamiaceae,Ajuga
Euphorbia exigua,Dwarf Spurge,Malpighiales,Euphorbiaceae,Euphorbia
Barbarea vulgaris,Winter-cress,Brassicales,Brassicaceae,Barbarea
Hordeum vulgare,Six-rowed Barley,Poales,Poaceae,Hordeum
Panicum miliaceum,Common Millet,Poales,Poaceae,Panicum
Ceratocapnos claviculata,Climbing Corydalis,Ranunculales,Papaveraceae,Ceratocapnos
Ornithopus perpusillus,Bird's-foot,Fabales,Fabaceae,Ornithopus
Silybum marianum,Milk Thistle,Asterales,Asteraceae,Silybum
Solanum dulcamara,NA,Solanales,Solanaceae,Solanum
Geranium pyrenaicum,Hedgerow Crane's-bill,Geraniales,Geraniaceae,Geranium
Viola palustris,Marsh Violet,Malpighiales,Violaceae,Viola
Lysimachia punctata,Dotted Loosestrife,Ericales,Primulaceae,Lysimachia
Lonicera caprifolium,Garden Honeysuckle,Dipsacales,Caprifoliaceae,Lonicera
Thymus polytrichus,Wild Thyme,Lamiales,Lamiaceae,Thymus
Rosa arvensis,Field-rose,Rosales,Rosaceae,Rosa
Cerastium arvense,Field Mouse-ear,Caryophyllales,Caryophyllaceae,Cerastium
Vicia lutea,Yellow-vetch,Fabales,Fabaceae,Vicia
Chenopodium quinoa,Quinoa,Caryophyllales,Amaranthaceae,Chenopodium
Fagopyrum esculentum,Buckwheat,Caryophyllales,Polygonaceae,Fagopyrum
Brassica oleracea,Kale,Brassicales,Brassicaceae,Brassica
Matricaria chamomilla,Scented Mayweed,Asterales,Asteraceae,Matricaria
Anthriscus caucalis,Bur Chervil,Apiales,Apiaceae,Anthriscus
Carduus nutans,Musk Thistle,Asterales,Asteraceae,Carduus
Centaurium erythraea,Common Centaury,Gentianales,Gentianaceae,Centaurium
Dryas octopetala,Mountain Avens,Rosales,Rosaceae,Dryas
Stachys palustris,Marsh Woundwort,Lamiales,Lamiaceae,Stachys
Linum catharticum,Fairy Flax,Malpighiales,Linaceae,Linum
Carum verticillatum,Whorled Caraway,Apiales,Apiaceae,Carum
Lysimachia vulgaris,Yellow Loosestrife,Ericales,Primulaceae,Lysimachia
Leontodon saxatilis,Lesser Hawkbit,Asterales,Asteraceae,Leontodon
Hypericum pulchrum,Slender St. John's-Wort,Malpighiales,Hypericaceae,Hypericum
Drosera anglica,Great Sundew,Caryophyllales,Droseraceae,Drosera
Zea mays,Maize,Poales,Poaceae,Zea
Jasione montana,Sheep's-bit,Asterales,Campanulaceae,Jasione
Hypericum perforatum,Perforate St. John's-Wort,Malpighiales,Hypericaceae,Hypericum
Bupleurum tenuissimum,Slender Hare's-ear,Apiales,Apiaceae,Bupleurum
Veronica arvensis,Wall Speedwell,Lamiales,Plantaginaceae,Veronica
Artemisia annua,Annual Mugwort,Asterales,Asteraceae,Artemisia
Jacobaea erucifolia,Hoary Ragwort,Asterales,Asteraceae,Jacobaea
Trifolium arvense,Hare's-foot Clover,Fabales,Fabaceae,Trifolium
Potentilla recta,Sulphur Cinquefoil,Rosales,Rosaceae,Potentilla
Raphanus sativus,Garden Radish,Brassicales,Brassicaceae,Raphanus
Epilobium roseum,Pale Willowherb,Myrtales,Onagraceae,Epilobium
Valeriana dioica,Marsh Valerian,Dipsacales,Caprifoliaceae,Valeriana
Fallopia convolvulus,Black-bindweed,Caryophyllales,Polygonaceae,Fallopia
Clinopodium vulgare,Wild Basil,Lamiales,Lamiaceae,Clinopodium
Pimpinella saxifraga,Burnet-saxifrage,Apiales,Apiaceae,Pimpinella
Veronica polita,Grey Field-speedwell,Lamiales,Plantaginaceae,Veronica
Tripleurospermum maritimum,Scentless Mayweed agg.,Asterales,Asteraceae,Tripleurospermum
Scrophularia auriculata,Water Figwort,Lamiales,Scrophulariaceae,Scrophularia
Symphytum officinale,Russian Comfrey,NA,Boraginaceae,Symphytum
Sinapis alba,White Mustard,Brassicales,Brassicaceae,Sinapis
Berula erecta,Lesser Water-parsnip,Apiales,Apiaceae,Berula
Senecio jacobaea,NA,Asterales,Asteraceae,Senecio
Malva sylvestris,Common Mallow,Malvales,Malvaceae,Malva
Atriplex patula,Common Orache,Caryophyllales,Amaranthaceae,Atriplex
Spergularia media,Greater Sea-spurrey,Caryophyllales,Caryophyllaceae,Spergularia
Circaea lutetiana,Upland Enchanter's-nightshade,Myrtales,Onagraceae,Circaea
Picris hieracioides,Hawkweed Oxtongue,Asterales,Asteraceae,Picris
