"sample_id","country","location_code","location_name","x1km_square","sample_projection","land_cover","date","year","digitised_by","pan_trap_station","trap_active_from","trap_active_to","trap_disturbed","temperature_start","temperature_end","cloud_cover_start","cloud_cover_end","wind_speed_start","wind_speed_end","exposure_sun","cast_shadow","vegetation_height_average","habitat_main","habitat_other","moved","sample_code_bycatch","wasps_solitary","wasps_social","wasps_parasitic","sawflies","flies","moths","butterflies","beetles_pollen","beetles_other","insects_small","insects_other","spiders","all_invertebrates_excluding_bees_hoverflies","bees","hoverflies","all_invertebrates_including_bees_hoverflies"
17276836,"Northern Ireland","NI09","J3565 Carryduff","J3565","OSIE","semi-natural","18/08/2021",2021,207506,5,"12:03","19:25","yes",16,16,100,100,3,1,0,0,30,"H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",,0,5408,0,0,7,1,48,0,0,0,0,0,0,0,56,0,15,71
17276834,"Northern Ireland","NI09","J3565 Carryduff","J3565","OSIE","semi-natural","18/08/2021",2021,207506,4,"11:09","19:15","no",16,16,100,100,2,1,0,0,10,"H32 - Bare ground/herb/grass mosaics of wood rides, hedgebanks and green lanes","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,5387,1,0,4,1,55,2,0,0,0,30,0,0,93,0,20,113
17276819,"Northern Ireland","NI09","J3565 Carryduff","J3565","OSIE","semi-natural","18/08/2021",2021,207506,3,"10:57","19:15","no",16,16,100,100,2,1,0,0,20,"H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland","H32 - Bare ground/herb/grass mosaics of wood rides, hedgebanks and green lanes",0,5347,0,0,4,0,34,0,0,1,1,6,0,0,46,0,39,85
17276799,"Northern Ireland","NI09","J3565 Carryduff","J3565","OSIE","semi-natural","18/08/2021",2021,207506,2,"10:30","18:44","no",18,16,100,100,2,1,0,0,20,"H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland","H32 - Bare ground/herb/grass mosaics of wood rides, hedgebanks and green lanes",0,5327,3,0,4,0,36,0,0,0,0,10,0,0,53,3,16,72
17276795,"Northern Ireland","NI09","J3565 Carryduff","J3565","OSIE","semi-natural","18/08/2021",2021,207506,1,"10:10","18:24","no",20,16,100,100,2,1,0,0,30,"H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland","H32 - Bare ground/herb/grass mosaics of wood rides, hedgebanks and green lanes",0,5314,0,0,9,0,23,0,0,1,0,34,0,0,67,0,12,79
17062629,"Northern Ireland","NI02","C5509 Claudy","C5509","OSIE","agricultural","21/09/2021",2021,91615,2,"10:40","16:35","no",12,19,100,50,1,2,100,20,30,"H21 - Stands of tall herbs (e.g. nettle and willow-herb beds)",,0,5726,0,0,2,0,34,29,0,0,0,0,0,0,65,3,20,88
17046531,"Northern Ireland","NI02","C5509 Claudy","C5509","OSIE","agricultural","21/09/2021",2021,91615,5,"11:30",,"no",16,18,60,100,2,2,100,60,30,"H32 - Bare ground/herb/grass mosaics of wood rides, hedgebanks and green lanes",,0,5819,0,0,4,0,26,5,0,0,0,0,0,0,35,0,28,63
17046501,"Northern Ireland","NI02","C5509 Claudy","C5509","OSIE","agricultural","21/09/2021",2021,91615,4,"11:15","17:10","no",15,19,50,50,3,5,100,10,40,"H16 - Dry semi/unimproved acid grassland","H25 - Hedgerows",0,5768,0,0,2,0,62,0,0,0,0,0,0,0,64,0,50,114
17046489,"Northern Ireland","NI02","C5509 Claudy","C5509","OSIE","agricultural","21/09/2021",2021,91615,3,"11:05","17:00","no",15,19,80,50,3,3,100,0,15,"H32 - Bare ground/herb/grass mosaics of wood rides, hedgebanks and green lanes",,0,5750,0,0,4,0,60,7,0,0,0,0,0,0,71,6,11,88
17042989,"Northern Ireland","NI02","C5509 Claudy","C5509","OSIE","agricultural","21/09/2021",2021,91615,1,"10:30","16:30","no",12,18,90,50,4,6,100,0,50,"H32 - Bare ground/herb/grass mosaics of wood rides, hedgebanks and green lanes",,0,5695,0,0,4,0,55,60,0,0,0,0,0,0,119,0,30,149
17039842,"Northern Ireland","NI06","J1181 Antrim","J1181","OSIE","agricultural","17/08/2021",2021,317756,5,"12:03","18:25","no",21,16,100,100,0,0,0,0,35,"H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland","H25 - Hedgerows",0,5492,0,0,0,0,48,0,0,0,0,0,0,0,48,0,15,63
17039839,"Northern Ireland","NI06","J1181 Antrim","J1181","OSIE","agricultural","17/08/2021",2021,317756,4,"11:50","18:15","no",19,15,100,100,0,0,0,0,15,"H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",,0,5480,0,0,0,0,15,0,0,0,0,0,1,0,16,0,11,27
17039836,"Northern Ireland","NI06","J1181 Antrim","J1181","OSIE","agricultural","17/08/2021",2021,317756,3,"11:40","18:10","no",18,15,100,100,0,0,0,0,25,"H39 - Ornamental shrubs/trees/lawns of parks/domestic gardens, etc.","H19 - Seasonally wet and wet marshy grasslands",0,5453,0,0,5,0,154,0,0,0,1,0,0,0,160,1,25,186
17039833,"Northern Ireland","NI06","J1181 Antrim","J1181","OSIE","agricultural","17/08/2021",2021,317756,2,"11:15","17:45","no",17,15,100,100,0,0,0,0,20,"H33 - Orchards, hop gardens and vineyards",,0,5435,0,0,2,0,31,0,1,0,0,1,0,0,35,1,16,52
17039828,"Northern Ireland","NI06","J1181 Antrim","J1181","OSIE","agricultural","17/08/2021",2021,317756,1,"11:02","17:35","no",18,16,100,100,0,0,0,0,20,"H33 - Orchards, hop gardens and vineyards",,0,5424,0,0,2,0,13,0,0,0,0,4,0,0,19,0,10,29
17039793,"Northern Ireland","NI08","J3456 Ballynahinch","J3456","OSIE","agricultural","17/08/2021",2021,317756,5,"09:27","15:35","no",15,18,100,100,3,2,0,0,15,"H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",,0,5611,0,0,0,0,30,0,0,0,0,0,0,0,30,0,2,32
17039792,"Northern Ireland","NI08","J3456 Ballynahinch","J3456","OSIE","agricultural","17/08/2021",2021,317756,4,"09:35","15:55","not sure",15,17,100,100,3,2,0,0,10,"H39 - Ornamental shrubs/trees/lawns of parks/domestic gardens, etc.",,0,5597,0,0,0,0,38,0,0,0,0,0,0,0,38,0,13,51
17039790,"Northern Ireland","NI08","J3456 Ballynahinch","J3456","OSIE","agricultural","17/08/2021",2021,317756,3,"09:45","16:10","no",15,17,100,100,3,2,0,0,20,"H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",,0,5567,1,0,7,0,86,0,0,0,0,2,1,0,97,1,28,126
17039755,"Northern Ireland","NI08","J3456 Ballynahinch","J3456","OSIE","agricultural","17/08/2021",2021,317756,2,"10:05","16:20","no",16,17,100,100,3,2,0,0,30,"H35 - Intensive arable crops",,0,5531,0,0,2,0,27,0,0,0,1,0,1,0,31,1,34,66
17039742,"Northern Ireland","NI08","J3456 Ballynahinch","J3456","OSIE","agricultural","17/08/2021",2021,317756,1,"10:20","16:35","no",16,17,100,100,3,2,0,0,30,"H35 - Intensive arable crops",,0,5508,0,0,1,0,19,0,0,0,0,3,0,0,23,0,22,45
17024261,"Scotland","122","NT2023 Craigierig","NT2023","OSGB","semi-natural","15/07/2021",2021,321999,5,"10:55","16:55","no",22,23,1,2,2,2,100,0,5,"H16 - Dry semi/unimproved acid grassland",,0,3908,0,0,5,0,22,0,0,0,0,3,4,0,34,1,0,35
17024258,"Scotland","122","NT2023 Craigierig","NT2023","OSGB","semi-natural","15/07/2021",2021,321999,4,"10:29","16:29","no",22,23,1,2,1,2,100,0,20,"H23 - Wet and dry heathland/ dry heather moorland",,0,3905,0,0,0,0,9,0,0,0,0,3,0,0,12,0,0,12
17024253,"Scotland","122","NT2023 Craigierig","NT2023","OSGB","semi-natural","15/07/2021",2021,321999,3,"10:09","16:09","no",22,23,1,2,1,2,100,0,25,"H23 - Wet and dry heathland/ dry heather moorland",,1,3904,0,0,3,1,16,0,0,0,0,2,2,1,25,0,2,27
17024231,"Scotland","122","NT2023 Craigierig","NT2023","OSGB","semi-natural","15/07/2021",2021,321999,2,"09:50","15:50","no",22,23,2,2,1,2,100,0,30,"H23 - Wet and dry heathland/ dry heather moorland",,0,3903,0,0,0,0,9,0,0,0,0,7,2,1,19,0,0,19
17024225,"Scotland","122","NT2023 Craigierig","NT2023","OSGB","semi-natural","15/07/2021",2021,321999,1,"09:35","15:35","no",22,23,1,2,1,1,100,0,15,"H12 - Acid bog/mire habitats",,0,3902,0,0,0,0,12,0,0,0,0,3,0,0,15,0,0,15
16921440,"England","10","SX7048 Idestone","SX7048","OSGB","agricultural","14/09/2021",2021,147199,5,"11:46","18:12","no",20,20,50,50,3,2,50,0,20,"H17 - Dry semi/unimproved (flower-rich) neutral grassland",,0,990,0,0,0,0,30,0,1,2,1,0,1,0,35,3,2,40
16921436,"England","10","SX7048 Idestone","SX7048","OSGB","agricultural","14/09/2021",2021,147199,4,"11:36","18:00","no",21,20,45,50,1,2,50,0,45,"H17 - Dry semi/unimproved (flower-rich) neutral grassland","H20 - Bracken dominated glades or hillsides",0,989,15,0,2,0,41,0,0,0,0,2,1,0,61,0,0,61
16921435,"England","10","SX7048 Idestone","SX7048","OSGB","agricultural","14/09/2021",2021,147199,3,"11:28","15:52","no",20,20,45,50,2,2,50,0,20,"H17 - Dry semi/unimproved (flower-rich) neutral grassland",,0,988,23,0,2,0,79,0,0,0,0,0,0,1,105,0,0,105
16921425,"England","10","SX7048 Idestone","SX7048","OSGB","agricultural","14/09/2021",2021,147199,2,"11:15","15:32","no",18,20,45,50,3,3,50,0,20,"H35 - Intensive arable crops","H25 - Hedgerows",0,982,0,0,10,0,23,0,0,1,1,4,1,0,40,2,3,45
16921410,"England","10","SX7048 Idestone","SX7048","OSGB","agricultural","14/09/2021",2021,147199,1,"11:05","17:23","no",18,20,50,50,1,2,50,0,100,"H35 - Intensive arable crops","H25 - Hedgerows",0,975,0,0,5,0,28,0,0,0,1,5,0,0,39,4,2,45
16921373,"England","10","SX7048 Idestone","SX7048","OSGB","agricultural","29/06/2021",2021,147199,5,"11:20","17:35","no",19,18,100,100,2,1,100,0,30,"H17 - Dry semi/unimproved (flower-rich) neutral grassland",,0,730,0,0,0,0,31,0,0,12,7,1,0,0,51,2,0,53
16921359,"England","10","SX7048 Idestone","SX7048","OSGB","agricultural","29/06/2021",2021,147199,4,"11:05","17:25","no",19,18,100,100,2,1,100,0,45,"H17 - Dry semi/unimproved (flower-rich) neutral grassland","H20 - Bracken dominated glades or hillsides",0,729,1,0,1,0,44,0,0,8,0,1,0,0,55,0,0,55
16921346,"England","10","SX7048 Idestone","SX7048","OSGB","agricultural","29/06/2021",2021,147199,3,"10:55","17:14","yes",19,18,90,100,2,1,100,0,30,"H17 - Dry semi/unimproved (flower-rich) neutral grassland",,0,726,0,0,0,0,26,0,0,5,0,0,0,0,31,2,0,33
16921337,"England","10","SX7048 Idestone","SX7048","OSGB","agricultural","29/06/2021",2021,147199,2,"10:41","16:50","no",19,18,90,100,2,1,100,0,70,"H35 - Intensive arable crops","H25 - Hedgerows",0,725,0,0,1,1,10,0,0,34,8,0,0,0,54,0,0,54
16921329,"England","10","SX7048 Idestone","SX7048","OSGB","agricultural","29/06/2021",2021,147199,1,"10:10","16:40","no",19,10,100,100,2,1,100,0,65,"H35 - Intensive arable crops","H25 - Hedgerows",0,723,2,0,0,0,12,0,0,5,11,0,0,0,30,1,0,31
16921312,"England","10","SX7048 Idestone","SX7048","OSGB","agricultural","07/06/2021",2021,147199,5,"10:56","17:06","no",16,18,90,50,2,2,100,0,20,"H17 - Dry semi/unimproved (flower-rich) neutral grassland",,0,4598,0,0,0,0,21,0,0,0,4,2,0,0,27,7,0,34
16921258,"England","10","SX7048 Idestone","SX7048","OSGB","agricultural","07/06/2021",2021,147199,4,"10:47","16:56","no",16,18,90,50,2,2,100,0,30,"H17 - Dry semi/unimproved (flower-rich) neutral grassland","H20 - Bracken dominated glades or hillsides",0,4592,0,0,0,0,52,0,0,0,3,0,0,0,55,5,0,60
16921201,"England","10","SX7048 Idestone","SX7048","OSGB","agricultural","07/06/2021",2021,147199,3,"10:38","16:43","yes",16,18,90,50,2,2,100,0,30,"H17 - Dry semi/unimproved (flower-rich) neutral grassland",,0,4590,0,0,0,0,3,0,0,0,9,1,0,0,13,1,0,14
16921148,"England","10","SX7048 Idestone","SX7048","OSGB","agricultural","07/06/2021",2021,147199,2,"10:19","16:26","no",15,17,95,60,2,2,50,30,70,"H35 - Intensive arable crops","H25 - Hedgerows",0,4579,0,0,1,1,10,0,0,0,2,30,0,0,44,8,2,54
16921092,"England","10","SX7048 Idestone","SX7048","OSGB","agricultural","07/06/2021",2021,147199,1,"10:03","16:12","no",14,18,95,70,2,2,90,20,70,"H35 - Intensive arable crops","H25 - Hedgerows",0,4571,0,0,2,0,11,0,0,1,7,10,0,0,31,7,0,38
16759922,"England","100","SU3986 near Wantage","SU3986","OSGB","agricultural","14/08/2021",2021,205710,5,"09:53","15:57","no",16,22,100,30,2,3,60,0,50,"H35 - Intensive arable crops","H38 - Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops (e.g. set-aside)",0,3202,0,1,2,0,37,0,0,0,1,1,2,0,44,4,2,50
16759918,"England","100","SU3986 near Wantage","SU3986","OSGB","agricultural","14/08/2021",2021,205710,4,"09:42","15:43","no",16,22,95,40,2,3,60,10,40,"H35 - Intensive arable crops",,0,3182,1,0,1,0,27,0,0,0,2,8,0,1,40,11,12,63
16759914,"England","100","SU3986 near Wantage","SU3986","OSGB","agricultural","14/08/2021",2021,205710,3,"09:37","15:39","no",16,21,90,40,2,3,60,0,50,"H35 - Intensive arable crops",,0,3178,0,0,3,0,45,0,0,0,0,2,0,2,52,1,2,55
16759912,"England","100","SU3986 near Wantage","SU3986","OSGB","agricultural","14/08/2021",2021,205710,2,"09:27","15:29","no",16,21,90,40,2,3,60,0,50,"H35 - Intensive arable crops",,0,3171,1,0,0,0,27,0,0,0,0,1,0,0,29,2,0,31
16759907,"England","100","SU3986 near Wantage","SU3986","OSGB","agricultural","14/08/2021",2021,205710,1,"09:19","15:21","no",16,21,90,40,2,3,60,0,50,"H35 - Intensive arable crops","H38 - Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops (e.g. set-aside)",0,3158,0,0,4,0,36,0,0,0,0,0,0,0,40,10,2,52
16759901,"England","100","SU3986 near Wantage","SU3986","OSGB","agricultural","17/07/2021",2021,205710,5,"09:50","16:33","no",19,26,0,0,2,2,100,0,30,"H35 - Intensive arable crops",,0,3365,0,0,1,0,17,0,0,7,2,12,3,0,42,7,8,57
16759896,"England","100","SU3986 near Wantage","SU3986","OSGB","agricultural","17/07/2021",2021,205710,4,"09:40","16:08","no",19,26,0,0,2,2,100,10,50,"H35 - Intensive arable crops",,0,3353,0,0,4,0,37,0,0,2,0,4,0,0,47,0,11,58
16759887,"England","100","SU3986 near Wantage","SU3986","OSGB","agricultural","17/07/2021",2021,205710,3,"09:30","15:59","no",19,26,0,0,2,2,100,0,50,"H35 - Intensive arable crops",,0,3346,0,0,1,0,157,0,0,1,0,12,0,0,171,2,4,177
16759882,"England","100","SU3986 near Wantage","SU3986","OSGB","agricultural","17/07/2021",2021,205710,2,"09:20","15:47","no",19,26,0,0,2,2,100,0,40,"H35 - Intensive arable crops",,0,3342,0,0,0,0,26,0,0,2,1,6,0,0,35,2,1,38
16759875,"England","100","SU3986 near Wantage","SU3986","OSGB","agricultural","17/07/2021",2021,205710,1,"09:10","15:35","no",19,26,0,0,2,2,100,5,50,"H35 - Intensive arable crops","H38 - Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops (e.g. set-aside)",0,3333,0,0,1,0,20,0,0,1,1,0,0,0,23,7,1,31
16759853,"England","100","SU3986 near Wantage","SU3986","OSGB","agricultural","30/05/2021",2021,205710,5,"10:12","16:48","no",12,18,100,30,2,3,70,5,30,"H35 - Intensive arable crops",,0,4740,0,0,11,0,13,0,0,17,5,8,1,0,55,20,0,75
16759847,"England","100","SU3986 near Wantage","SU3986","OSGB","agricultural","30/05/2021",2021,205710,4,"09:58","16:30","no",12,18,100,30,2,3,70,10,15,"H35 - Intensive arable crops",,0,4728,0,0,1,0,4,0,0,1,1,2,0,0,9,11,0,20
16759843,"England","100","SU3986 near Wantage","SU3986","OSGB","agricultural","30/05/2021",2021,205710,3,"09:50","16:23","no",12,18,100,30,2,3,70,0,10,"H35 - Intensive arable crops",,0,4716,0,0,0,0,16,0,0,24,0,27,0,0,67,11,0,78
16759838,"England","100","SU3986 near Wantage","SU3986","OSGB","agricultural","30/05/2021",2021,205710,2,"09:38","16:10","no",12,18,100,30,2,3,70,0,40,"H35 - Intensive arable crops",,0,4712,0,0,1,0,16,0,0,78,3,6,0,1,105,3,0,108
16759835,"England","100","SU3986 near Wantage","SU3986","OSGB","agricultural","30/05/2021",2021,205710,1,"09:28","15:43","no",12,18,100,30,2,3,70,0,30,"H35 - Intensive arable crops",,0,4697,0,0,5,0,12,0,1,7,1,1,0,0,27,14,0,41
16516390,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","29/08/2021",2021,132041,5,"10:10","16:10","no",15,15,100,100,1,1,5,20,30,"H40 - Bare ground/weed communities of post-industrial sites","H28 - Mature mixed broadleaved and coniferous woodland",0,1155,0,0,1,0,12,1,0,0,0,1,0,0,15,0,1,16
16516370,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","29/08/2021",2021,132041,4,"10:00","16:00","no",15,15,100,100,2,2,5,0,15,"H35 - Intensive arable crops","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,1154,0,0,6,0,32,1,0,0,0,3,0,0,42,0,0,42
16516365,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","29/08/2021",2021,132041,3,"09:50","15:50","no",15,15,100,100,2,2,5,0,10,"H35 - Intensive arable crops","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,1150,0,0,1,0,58,0,0,0,0,5,0,0,64,0,3,67
16516296,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","29/08/2021",2021,132041,2,"09:40","15:40","no",15,15,100,100,2,2,5,0,10,"H35 - Intensive arable crops","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,1148,0,0,2,0,33,1,0,0,0,0,0,0,36,1,0,37
16516288,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","29/08/2021",2021,132041,1,"09:30","15:30","no",14,15,100,100,3,3,5,0,15,"H35 - Intensive arable crops","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,1147,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,11
16512419,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","30/05/2021",2021,132041,2,"09:50","15:50","no",16,20,0,10,1,2,95,0,40,"H35 - Intensive arable crops","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,5045,0,0,1,0,13,1,0,0,0,0,0,0,15,1,0,16
16512416,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","30/05/2021",2021,132041,5,"10:20","16:20","no",15,20,0,10,0,1,95,15,30,"H40 - Bare ground/weed communities of post-industrial sites","H28 - Mature mixed broadleaved and coniferous woodland",0,5048,0,0,2,0,8,0,0,2,0,1,1,0,14,0,1,15
16512156,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","25/07/2021",2021,132041,5,"10:00","16:00","no",16,18,10,100,1,0,30,25,45,"H40 - Bare ground/weed communities of post-industrial sites","H28 - Mature mixed broadleaved and coniferous woodland",0,3951,0,0,1,0,14,0,0,2,0,6,0,0,23,0,1,24
16512099,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","25/07/2021",2021,132041,4,"09:50","15:50","no",18,18,5,100,0,1,30,0,10,"H35 - Intensive arable crops","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,3950,0,0,1,0,35,0,0,7,0,21,1,0,65,0,0,65
16512096,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","25/07/2021",2021,132041,3,"09:40","15:40","no",18,18,5,100,0,0,30,0,0,"H35 - Intensive arable crops","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,3947,0,0,0,0,25,0,0,2,1,0,0,0,28,0,2,30
16512092,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","25/07/2021",2021,132041,2,"09:30","15:30","no",17,18,5,100,0,0,30,0,0,"H35 - Intensive arable crops","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,3945,0,0,3,0,16,0,0,0,0,1,0,0,20,0,1,21
16512089,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","25/07/2021",2021,132041,1,"09:20","15:20","no",16,18,5,100,1,2,30,0,20,"H35 - Intensive arable crops","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,3944,0,0,3,0,14,0,0,2,0,2,0,0,21,0,0,21
16511927,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","29/06/2021",2021,132041,5,"10:10","16:10","no",17,20,50,10,0,0,90,25,50,"H40 - Bare ground/weed communities of post-industrial sites","H28 - Mature mixed broadleaved and coniferous woodland",0,2203,0,0,0,0,6,1,0,0,0,0,1,0,8,0,0,8
16511898,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","29/06/2021",2021,132041,4,"10:00","16:00","no",18,19,50,10,1,1,90,0,40,"H35 - Intensive arable crops","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,2201,0,0,1,0,10,0,0,0,1,11,0,1,24,1,0,25
16511894,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","29/06/2021",2021,132041,3,"09:50","15:50","no",18,19,50,20,1,1,90,0,40,"H35 - Intensive arable crops","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,2198,0,0,1,0,6,0,0,0,0,1,0,0,8,2,0,10
16511863,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","29/06/2021",2021,132041,2,"09:40","15:40","no",18,19,50,20,1,1,90,0,40,"H35 - Intensive arable crops","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,2193,0,0,1,0,1,0,1,0,0,1,0,0,4,4,0,8
16511846,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","29/06/2021",2021,132041,1,"09:30","15:30","no",17,19,50,20,2,1,90,0,50,"H35 - Intensive arable crops","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,2191,0,0,8,0,6,0,0,0,0,27,0,0,41,1,0,42
16511739,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","30/05/2021",2021,132041,4,"10:10","16:10","no",17,20,0,10,1,2,95,0,40,"H35 - Intensive arable crops","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,5047,0,0,0,0,24,0,0,7,1,6,0,1,39,0,0,39
16511720,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","30/05/2021",2021,132041,3,"10:00","16:00","no",17,20,0,10,1,2,95,0,40,"H35 - Intensive arable crops","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,5046,0,0,0,0,8,0,0,0,2,4,0,0,14,0,0,14
16511645,"Scotland","118","NT5824 Rawflat","NT5824","OSGB","agricultural","30/05/2021",2021,132041,1,"09:40","15:40","no",15,20,0,10,2,2,95,0,45,"H35 - Intensive arable crops","H18 - Agriculturally improved/re-seeded/ heavily fertilised grassland",0,5043,0,0,1,0,15,0,0,2,3,0,0,1,22,1,0,23
16356884,"England","31","SP1430 Hinchwick","SP1430","OSGB","semi-natural","23/08/2021",2021,304924,5,"09:00","15:00","no",17,20,90,20,1,1,60,0,10,"H35 - Intensive arable crops",,0,827,0,0,0,0,260,0,0,0,0,0,0,0,260,4,4,268
