Gene_ID,cds_length
TAS2R8,930
TAS2R9,939
PRR4,501
LMNTD2,1905
ZYX,1719
RNH1,1386
TAS2R10,924
TAS2R13,912
PRH2,501
TAS2R14,954
TAS2R50,900
TAS2R20,930
TAS2R19,900
TAS2R31,930
TAS2R46,930
TAS2R43,930
TAS2R45,900
TAS2R30,960
EPHA1,2931
AP2A2,2753
DRD4,1260
TAS2R60,957
DEAF1,485
TAS2R41,924
OR10AC1,979
CTAGE15,2334
CTAGE6,2334
IRF7,1551
OR2F2,954
OR2F1,954
OR6B1,936
TCAF2,2760
MUC6,12123
MUC2,8454
HRAS,570
RASSF7,1122
CDHR5,2538
PRB1,993
PRB3,1056
TAS2R42,945
FOXO6,1680
SCT,366
PTDSS2,1180
PRB4,744
PRH1,564
CTAGE1,2238
MARCHF8,723
OR13A1,987
ALOX5,2025
MC4R,999
DNAH10,9591
CCDC92,996
SLC5A8,1833
ANO4,530
RPL17-C18orf32,687
ONECUT2,1515
PIWIL1,2586
SERPINB11,1179
TMEM255B,46
C18orf63,2058
SERPINB12,1278
ELOA2,2262
CETN1,519
LRRC30,906
MC5R,978
SPACA7,588
TUBGCP3,638
SERPINB10,1194
SLC35G4,1017
CHMP1B,600
TUBB8B,1335
METTL21EP,756
C21orf140,756
SMIM34,420
TMEM179,702
C14orf180,534
MLNR,1239
SLC25A52,894
KRTAP6-3,312
TC2N,1473
CATSPERB,3351
KRTAP5-6,390
IFITM10,150
EDNRB,1329
NAALAD2,2223
ZIC2,1599
NUFIP1,1488
TUBGCP5,3075
ADARB1,2106
CDK8,1395
CHORDC1,999
RB1,2787
GOLGA6L22,1980
IQSEC3,3114
GPR18,996
SMAD9,1404
GOLGA8F,1947
GOLGA8G,1947
TIAM1,4776
RGCC,414
ENTREP2,1620
PROZ,1203
APBA2,2250
HERC2,72
ATP23,741
OCA2,2244
SLC25A30,876
NSMCE3,915
CHRFAM7A,1239
GOLGA8T,1896
ARHGAP11B,804
CHRNA7,1506
ARHGAP11A,3072
GOLGA8Q,1899
OVOS2P,4302
RRP1B,2277
TRPM1,4929
STOML3,876
GOLGA8N,1899
SINHCAF,666
SCG5,651
ATP11A,3405
IL10RB,978
GREM1,555
TJP1,5307
NEK3,1521
GOLGA6L10,1653
IFNAR2,1548
GOLGA6L9,1299
GOLGA8J,1899
FAN1,3054
RPS17,411
MTMR10,2334
CPEB1,1881
KLF13,867
BIVM,1512
SNTB2,580
UTP4,1535
SCAF4,3444
ZDHHC20,1098
HS3ST6,1029
SERTM1,324
ARL11,591
UFM1,258
DECR2,879
RAB11FIP3,2271
MICU2,1305
CTRB2,792
CTRB1,789
ZG16B,519
PRSS22,1338
GTF2F2,750
RXFP2,2265
SOHLH2,1278
C2CD2,2091
INTS6,2664
AIRE,1638
KRTAP17-1,318
CLDN14,720
KRT33A,1215
KRT33B,1215
CCL3L3,282
KRT31,1251
KRT37,1350
KRT34,1185
KRTAP2-3,387
KRTAP2-4,387
CCL18,270
KRTAP4-11,588
KRTAP4-12,606
KRTAP4-5,546
KRTAP4-4,501
KRTAP4-8,558
KRTAP16-1,1554
KRTAP4-2,411
KRTAP9-3,480
KRTAP9-8,480
KRTAP9-4,465
KRTAP29-1,1026
KRTAP4-6,618
KRTAP4-9,633
CCL3,279
KRTAP4-7,468
KRTAP2-2,372
KRTAP4-16,708
IFNAR1,1674
CCL4,279
CCL4L2,312
TBC1D3B,1650
FARP1,3138
TBC1D3I,1650
C21orf58,969
SERPINF1,129
SCARF1,2493
PRIMA1,462
IFI27,369
SCGB1C2,288
PPP4R4,2622
RPH3AL,948
TLCD2,795
WDR81,5823
B3GALT5,933
MOAP1,1056
LYSET,510
SERPINA6,1218
BTBD7,3399
DOC2B,1239
SLC43A2,1722
IFI27L1,318
ATP5PF,327
UNC79,7974
RILP,1206
PRPF8,7008
SERPINA10,1455
UBR7,1278
METRNL,936
ASB2,1908
SERPINF2,1476
TBCD,1515
ITPK1,1245
PARP4,5175
QTGAL,1086
OTUB2,705
TTC3,6078
FAM181A,1065
COX8C,219
IFI27L2,393
CHGA,1374
DDX24,2580
GON7,303
SERPINA1,1257
SERPINA2,1266
ABR,2469
DNMT3L,1161
WDFY2,1203
SGPP1,1326
FTCD,1626
TRARG1,14
NXN,360
YWHAE,768
TIMM22,585
CHAMP1,2439
NUDT15,495
MEDAG,912
SUCLA2,1392
MEGF11,2710
KRTAP9-2,525
KRTAP9-9,510
KRTAP9-6,483
KRTAP9-7,510
LRRC37A2,5103
MAPT,2331
HS6ST3,1416
CRYL1,960
PLEKHM1,3171
SEPTIN9,31
ARHGAP27,2670
RNASEH2B,939
TRIM69,1503
B2M,360
KANSL1,3318
LRRC37A,5103
LRRC37A3,5103
KRT12,1485
KRT20,1275
KRT23,1269
SPPL2C,2055
ARL17B,546
KRT39,1476
KRT40,1296
NSF,2235
KRTAP3-3,297
KRTAP3-2,297
KRTAP3-1,297
KRTAP1-5,525
KRTAP1-4,366
KRTAP1-3,504
KRTAP1-1,534
KRTAP2-1,387
NUTM1,3483
PDE9A,1782
LPCAT4,1575
GOLGA8A,1812
STH,387
NOP10,219
CRHR1,1335
WNT3,1068
TRIM13,1224
RCBTB2,1656
SLC39A11,254
SKA1,768
BOD1L2,519
DEFB129,552
DEFB125,471
INSM1,1533
DEFB128,282
DEFB126,336
OLFM4,1533
COMMD6,258
SCRT2,924
DEFB127,300
DEFB115,267
DSC1,2685
MC3R,972
NBEA,8904
SCP2D1,471
BHLHE23,726
DSEL,3669
ATP12A,3120
SYS1-DBNDD2,294
CXXC1,1971
SERPINE3,1215
STX16-NPEPL1,1149
ITGBL1,1485
GTSF1L,447
OTOR,387
R3HDML,762
XKR7,1740
FAM83C,2244
TGIF2-RAB5IF,468
CTDP1,2417
AVP,495
FOXS1,993
ATP9B,119
SALL3,3903
SIRPD,594
C20orf144,462
PRND,531
SCEL,2067
MAFB,972
SPINT3,270
EPPIN-WFDC6,561
ZCCHC3,1212
MOCS3,1383
SOX12,948
WFDC13,282
SPINT4,300
ZNF831,5034
ACTL10,738
PEDS1-UBE2V1,1113
CSTL1,438
OCSTAMP,1701
GCNT7,927
TAF4,3258
C20orf202,300
HMGB1P1,636
ANKRD60,1038
BPIFB4,1845
BPIFA2,750
BPIFB3,1419
CACNA1I,6672
RTEL1-TNFRSF6B,2358
SETBP1,4791
DEFB121,231
WFDC12,336
KIR3DL3,1233
DEFB116,309
FAM210A,819
DEFB118,372
KIR2DL3,1026
NPBWR2,1002
KIR3DL2,354
SSTR4,1167
THBD,1728
ABHD16B,1410
LMAN1,1533
ENTHD1,1824
PKDREJ,6762
FAM9A,999
BEND2,2400
RFPL3,954
KLHL34,1935
MIB1,3021
SPECC1L-ADORA2A,2736
DNAJC28,1167
S100G,240
KIR2DL4,1134
H2AP,354
FAM47B,1938
PIGP,405
MAGEB10,1044
PPP1R3D,900
ITIH6,3942
MTCL1,6036
YY2,1119
CENPB,1800
AKAP4,2565
KIR2DS1,990
FOXR2,936
MAGEH1,660
ZNF516,3492
GRP,447
PABPC1L2A,603
KIR2DL1,1125
CRYAA,522
ZNF840P,2079
STARD6,663
EFCAB8,3867
TRPM2,4512
ZNF521,3936
MAGEE1,2874
CEBPB,1038
TGIF2LX,726
NPIPA5,1053
NOMO1,3804
CCL23,414
NDC80,1929
SEC14L2,1212
TEX13B,939
TBC1D3G,1650
MAGEE2,1572
POU3F4,1086
FAM236C,240
PPP1R2C,609
CCL16,363
KIR3DL1,1335
DDX52,1800
DCAF8L1,1803
SPIN4,750
DCAF12L2,1392
OTUD6A,867
SPANXB1,312
CLUL1,1401
MAGEC2,1122
RRN3,1956
KIR2DS4,893
TFDP3,1218
TBC1D3K,1650
CT47A12,867
TSSK2,1077
GSC2,618
DOK6,996
CT47A11,867
LYZL6,447
AMER1,3408
RSPH1,930
SPANXC,294
MRPL45,921
SPANXN1,219
PARN,1920
TBC1D3L,1650
HSFX1,1272
CHKB-CPT1B,183
CT47A7,867
SPATC1L,1023
ACACA,7152
CELF4,1461
H1-0,585
RIMBP3C,4920
GPR50,1854
C22orf31,873
PASD1,2322
WDR4,1239
PLA2G10,498
SPANXD,294
CXorf51B,327
APOL5,1302
NAP1L3,1521
OR11H1,948
SPANXA2,294
TMEM121B,1737
CEP20,597
IL17REL,1524
PDXDC1,2421
TMA7B,195
FAM246C,698
H2AB3,348
MCHR1,1062
OPN1LW,1095
TPTEP2-CSNK1E,1251
OPN1MW,1095
TTLL8,2259
RIMBP3B,4920
TBX1,1515
PAXBP1,2754
SSX7,567
MN1,3963
GSTT2,735
POTEH,1638
F8A3,1116
PABPC1L2B,603
RBMXL3,3204
HSFX4,1002
PNMA6A,1200
SOX3,1341
RPL36A-HNRNPH2,357
ABCC6,4512
DUSP21,573
GAGE2E,331
DLGAP1,2934
GAGE12B,23
GPR101,1527
MYO19,2913
UBQLN2,1875
MPV17L,591
RIMBP3,4920
NTAN1,933
C22orf42,756
RFPL1,954
IRS4,3771
TMEM191B,1041
NPIPA3,1110
GART,3033
BMERB1,615
ESX1,1221
CTAG1A,543
NPIPA6,1110
SRPX2,1398
PCGF2,1035
BFAR,1353
EPG5,7740
PRR5-ARHGAP8,1932
CT45A3,570
MLLT6,3282
CT45A2,570
NDE1,1008
SOWAHD,948
RNF113A,1032
FTHL17,552
GSPT2,1887
ZNHIT3,468
MARF1,5229
HSFX3,1002
MAGEB18,1032
DNAJB7,930
MAGEB6,1224
MAGEB5,828
RIOK3,1560
TADA2A,1332
MAGEA9,948
CT47A10,867
CT47A9,867
CT47A8,867
ABCC1,4596
HSFX2,1272
H2AB1,348
F8A1,1116
MRM1,1062
UBE2L5,465
GUCY2F,3327
F10,1467
GGNBP2,2094
KCNE5,429
H2AB2,348
F8A2,1116
ARSH,1689
PGAM4,765
CCL15,342
GPR119,1008
PIP4K2B,1251
MAGEB4,1041
NPIPA1,1110
AATF,1683
NOMO3,3804
OR13H1,927
SPACA5B,480
MAGEB3,1041
OPN1MW2,1095
TEX26,870
CCT8L2,1674
CCDC102B,1542
TBC1D3H,1650
FAM236D,240
ACTRT1,1131
CTAG1B,543
CTAG2,543
IPO5,3294
MPC1L,411
GAB4,1725
SPMAP1,465
SOCS7,1746
GAGE1,354
EPOP,1140
RDM1,855
ATXN3L,1068
VCX3B,741
FAM47A,2376
TEX13D,2145
CNGA2,1995
HAPSTR2,822
PMAIP1,165
RS1,675
ZNF24,1107
SUPT20HL1,2664
SUPT20HL2,2454
SMIM9,300
KIAA1210,4602
CXorf51A,327
MYH11,5940
CT45A7,570
HEATR9,1713
USP26,2742
LPIN2,2691
H2AL1Q,600
DGAT2L6,1014
POSTN,2511
AWAT1,987
P2RY4,1098
TRPC5,2922
TEX13C,2982
FAM47C,3108
HNF1B,1674
MAGEA1,930
PWWP4,6186
MBD2,1236
OPN1MW3,1095
PIGW,1515
H2AL3,447
MAGEB6B,1224
CCL5,451
SPANXA1,294
TEX28,1233
SRCIN1,3654
SMIM10,252
ATP5F1A,1662
DUSP14,597
FCAR,864
GPR179,7104
CISD3,384
LHX1,1221
SYNRG,3945
GLRA2,1359
NPIPA7,1110
NCR1,682
RTL5,1710
CWC25,1278
NPC1,3837
C17orf78,828
XPO4,3456
CCL14,330
MMP28,1563
ZCCHC13,501
H2BW2,447
CPAP,4017
TKTL1,1791
CES5A,1815
TAF15,1779
UBE2NL,462
CBS,1656
CES1,1707
CCL15-CCL14,342
USP27X,1317
DHRS11,783
DDX53,1896
PPP4R3C,2499
BMP15,1179
RBBP8P1,1308
KIR2DL5A,1125
CBLL2,1278
ARHGAP23,4476
TXNL4A,429
ZMYM5,2010
CDH19,2319
PSMB3,618
TBC1D3F,1488
ARGLU1,822
METTL21C,795
GRTP1,1011
DIPK1C,1260
RAX,1041
ANKRD12,6189
MBNL2,1176
KIR2DS5,915
KIR2DS3,915
KIR2DS2,915
ZSCAN30,1485
ABCC4,3978
KIR3DS1,1167
GLIS2,1575
VASN,2022
CORO7-PAM16,3147
NMRAL1,900
HMOX2,1113
PAM16,438
DNAJA3,1443
CLN5,1077
TBC1D4,3897
CDIP1,627
CORO7,2778
UBL3,354
KIR3DP1,987
NAXD,990
DYNAP,555
CEP76,1980
DNAJC3,1515
CNDP1,1524
KIR2DL5B,1128
THSD1,2559
COL18A1,4020
KCNRG,819
KATNAL2,1617
LRRC63,1764
FNDC3A,3597
CMTR2,2313
CALB2,816
TUBB6,1341
SERP2,198
GPR183,1086
BRCA2,10257
SERPINB3,1173
FBXL3,1287
PCID2,1200
SERPINB2,1248
USP14,1485
RIT2,654
ARK2N,1215
ERCC5,3561
HDHD2,780
MYCBP2,14037
KIR2DL2,1047
LIPG,1503
EFNB2,1002
ENOX1,1932
TRAPPC8,4308
BTG3,759
HELZ2,7950
BPIFB6,1362
HLCS,2622
WNT9B,1074
GFRA4,810
ADPRHL1,5904
C1QTNF9B,1002
LIPI,1383
HTR2A,1416
SUMO3,312
CDX2,942
DCLK1,2223
RIPPLY3,573
CST9,480
PRDM15,3426
SERPINB13,1176
CST4,426
LMO7,4896
MOCOS,2667
KDSR,999
C20orf204,570
WFDC9,270
SLC19A1,1776
WFDC11,264
APCDD1,1545
FAM246B,699
WDR7,4473
FAM246A,699
PSKH2,1158
SIK1,2352
DCAF4L2,1188
HSF2BP,1005
TSPYL5,1254
SLC39A6,2268
STARD13,3342
KLHDC7B,3708
PRMT2,1302
CD93,1959
TFAP2C,1353
ODF1,753
EZHIP,1512
VSTM1,711
CENPVL3,819
SNAI1,795
CENPVL2,819
CENPVL1,819
DEFB124,216
CST8,429
BHLHE22,1146
ATP5MGL,303
VWA8,5718
TARM1,816
OSCAR,861
NEDD4L,2928
NDUFA3,255
TFPT,762
PRPF31,1500
LYNX1-SLURP2,396
TMC2,2721
CNOT3,2262
LENG1,795
SLPI,399
TMC4,2139
MBOAT7,1419
ADNP,3309
TSEN34,948
RPS9,585
LILRA3,1470
LILRA5,900
LILRA4,1500
LAIR1,864
CRNKL1,2064
